as_of,target_quarter,horizon_week,spec,variant,log_score,realizzato_bea,n_draws,reestimated
2014-01-31,2014Q1,5,qbvar,-,-4.046022666948614,-1.3732548917761767,1000,True
2014-01-31,2014Q2,-8,qbvar,-,-2.2842012767693314,5.268365026582655,1000,True
2014-02-07,2014Q1,6,qbvar,-,-3.6487735328966293,-1.3732548917761767,1000,False
2014-02-07,2014Q2,-7,qbvar,-,-2.576706701596378,5.268365026582655,1000,False
2014-02-14,2014Q1,7,qbvar,-,-3.8837110241808572,-1.3732548917761767,1000,False
2014-02-14,2014Q2,-6,qbvar,-,-2.2698191163779087,5.268365026582655,1000,False
2014-02-21,2014Q1,8,qbvar,-,-3.5586852940289586,-1.3732548917761767,1000,False
2014-02-21,2014Q2,-5,qbvar,-,-2.40224349927493,5.268365026582655,1000,False
2014-02-28,2014Q1,9,qbvar,-,-3.85276448926594,-1.3732548917761767,1000,False
2014-02-28,2014Q2,-4,qbvar,-,-2.1866728415250303,5.268365026582655,1000,False
2014-03-07,2014Q1,10,qbvar,-,-3.960901955108024,-1.3732548917761767,1000,False
2014-03-07,2014Q2,-3,qbvar,-,-2.4519246413629374,5.268365026582655,1000,False
2014-03-14,2014Q1,11,qbvar,-,-3.7329469432442157,-1.3732548917761767,1000,False
2014-03-14,2014Q2,-2,qbvar,-,-2.463059766583114,5.268365026582655,1000,False
2014-03-21,2014Q1,12,qbvar,-,-3.612710344976102,-1.3732548917761767,1000,False
2014-03-21,2014Q2,-1,qbvar,-,-2.3608881506279773,5.268365026582655,1000,False
2014-03-28,2014Q1,13,qbvar,-,-3.6056531639257634,-1.3732548917761767,1000,False
2014-03-28,2014Q2,0,qbvar,-,-2.360399128736597,5.268365026582655,1000,False
2014-04-04,2014Q1,14,qbvar,-,-2.854942550147738,-1.3732548917761767,1000,False
2014-04-04,2014Q2,1,qbvar,-,-2.51430378437889,5.268365026582655,1000,False
2014-04-04,2014Q3,-12,qbvar,-,-2.544110517119761,4.950916534930627,1000,False
2014-04-11,2014Q1,15,qbvar,-,-3.5071762087907485,-1.3732548917761767,1000,False
2014-04-11,2014Q2,2,qbvar,-,-2.5584049977846464,5.268365026582655,1000,False
2014-04-11,2014Q3,-11,qbvar,-,-2.386784396232244,4.950916534930627,1000,False
2014-04-18,2014Q1,16,qbvar,-,-2.8999034801781045,-1.3732548917761767,1000,False
2014-04-18,2014Q2,3,qbvar,-,-3.0150582618179524,5.268365026582655,1000,False
2014-04-18,2014Q3,-10,qbvar,-,-2.7480978947985895,4.950916534930627,1000,False
2014-04-25,2014Q1,17,qbvar,-,-3.0555283071372163,-1.3732548917761767,1000,False
2014-04-25,2014Q2,4,qbvar,-,-2.801726562416098,5.268365026582655,1000,False
2014-04-25,2014Q3,-9,qbvar,-,-2.7331111621269426,4.950916534930627,1000,False
