as_of,target_quarter,horizon_week,spec,variant,nowcast_bea,nowcast_livello,nowcast_z,sd_z,realizzato_bea,realizzato_livello,errore_bea,gdp_release_date,n_releases,n_iter,converged,reestimated
2011-07-29,2011Q3,5,benchmark,ar2,1.8429687722399724,1.8261919173952184,-0.35882938441165196,,-0.08922107662069356,-0.0892609023136356,1.932189848860666,2011-10-28,6,0,True,False
2011-07-29,2011Q3,5,benchmark,mean,2.7410083516268724,2.704115359919689,0.0,,-0.08922107662069356,-0.0892609023136356,2.830229428247566,2011-10-28,6,0,True,False
2011-07-29,2011Q3,5,qbvar,-,1.0884055393528769,1.082525036927146,,2.2722922970524913,-0.08922107662069356,-0.0892609023136356,1.1776266159735704,2011-10-28,6,1000,True,True
2011-07-29,2011Q4,-9,benchmark,ar2,2.454549607876433,2.4249095791592903,-0.11411842261136111,,4.568438742179692,4.467158724585995,-2.1138891343032595,2012-01-28,6,0,True,False
2011-07-29,2011Q4,-9,benchmark,mean,2.7410083516268724,2.704115359919689,0.0,,4.568438742179692,4.467158724585995,-1.82743039055282,2012-01-28,6,0,True,False
2011-07-29,2011Q4,-9,qbvar,-,-0.12863620369252815,-0.1287190110781661,,2.3790207997102155,4.568438742179692,4.467158724585995,-4.69707494587222,2012-01-28,6,1000,True,True
2011-08-05,2011Q3,6,benchmark,ar2,1.8429687722399724,1.8261919173952184,-0.35882938441165196,,-0.08922107662069356,-0.0892609023136356,1.932189848860666,2011-10-28,14,0,True,False
2011-08-05,2011Q3,6,benchmark,mean,2.7410083516268724,2.704115359919689,0.0,,-0.08922107662069356,-0.0892609023136356,2.830229428247566,2011-10-28,14,0,True,False
2011-08-05,2011Q3,6,qbvar,-,0.6323730775081748,0.6303819886271144,,2.222207195382821,-0.08922107662069356,-0.0892609023136356,0.7215941541288684,2011-10-28,14,1000,True,False
2011-08-05,2011Q4,-8,benchmark,ar2,2.454549607876433,2.4249095791592903,-0.11411842261136111,,4.568438742179692,4.467158724585995,-2.1138891343032595,2012-01-28,14,0,True,False
2011-08-05,2011Q4,-8,benchmark,mean,2.7410083516268724,2.704115359919689,0.0,,4.568438742179692,4.467158724585995,-1.82743039055282,2012-01-28,14,0,True,False
2011-08-05,2011Q4,-8,qbvar,-,0.27057368686174144,0.2702082952156648,,2.336776657337764,4.568438742179692,4.467158724585995,-4.297865055317951,2012-01-28,14,1000,True,False
2011-08-12,2011Q3,7,benchmark,ar2,1.8429687722399724,1.8261919173952184,-0.35882938441165196,,-0.08922107662069356,-0.0892609023136356,1.932189848860666,2011-10-28,4,0,True,False
2011-08-12,2011Q3,7,benchmark,mean,2.7410083516268724,2.704115359919689,0.0,,-0.08922107662069356,-0.0892609023136356,2.830229428247566,2011-10-28,4,0,True,False
2011-08-12,2011Q3,7,qbvar,-,1.0191891375946227,1.014030426840899,,2.1842832876186837,-0.08922107662069356,-0.0892609023136356,1.1084102142153163,2011-10-28,4,1000,True,False
2011-08-12,2011Q4,-7,benchmark,ar2,2.454549607876433,2.4249095791592903,-0.11411842261136111,,4.568438742179692,4.467158724585995,-2.1138891343032595,2012-01-28,4,0,True,False
2011-08-12,2011Q4,-7,benchmark,mean,2.7410083516268724,2.704115359919689,0.0,,4.568438742179692,4.467158724585995,-1.82743039055282,2012-01-28,4,0,True,False
2011-08-12,2011Q4,-7,qbvar,-,0.18349123490964958,0.18332309539263722,,2.3784150130092425,4.568438742179692,4.467158724585995,-4.384947507270043,2012-01-28,4,1000,True,False
