as_of,target_quarter,horizon_month,method,nowcast_livello,nowcast_z,gdp_realizzato,errore,n_iter,converged
2011-01-15,2010Q4,4,arma22,0.8246232112088151,0.2252450436354206,0.523736364445071,0.3008868467637441,,True
2011-01-15,2010Q4,4,gaussian,0.769436217369668,0.1353181151836801,0.523736364445071,0.24569985292459706,36.0,True
2011-01-15,2010Q4,4,random_walk,0.7681272705003295,0.13318519285402342,0.523736364445071,0.24439090605525848,,True
2011-01-15,2010Q4,4,student_t,0.7487827291471641,0.10166336016880397,0.523736364445071,0.22504636470209316,39.0,True
2011-01-15,2011Q1,1,arma22,0.7174680072186088,0.05063617853678352,-0.2374866736049696,0.9549546808235785,,True
2011-01-15,2011Q1,1,gaussian,0.9407153017782277,0.41441652039455235,-0.2374866736049696,1.1782019753831974,36.0,True
2011-01-15,2011Q1,1,random_walk,0.7681272705003295,0.13318519285402342,-0.2374866736049696,1.0056139441052991,,True
2011-01-15,2011Q1,1,student_t,0.8884268299098437,0.32921271889262044,-0.2374866736049696,1.1259135035148133,39.0,True
2011-02-15,2011Q1,2,arma22,0.6132627941701887,-0.11714745882881426,-0.2374866736049696,0.8507494677751584,,True
2011-02-15,2011Q1,2,gaussian,0.9073648602074608,0.3642696896792005,-0.2374866736049696,1.1448515338124303,36.0,True
2011-02-15,2011Q1,2,random_walk,0.523736364445071,-0.26369372113527234,-0.2374866736049696,0.7612230380500407,,True
2011-02-15,2011Q1,2,student_t,0.8823493149862217,0.3233216181098698,-0.2374866736049696,1.1198359885911913,37.0,True
2011-03-15,2011Q1,3,arma22,0.6132627941701887,-0.11714745882881426,-0.2374866736049696,0.8507494677751584,,True
2011-03-15,2011Q1,3,gaussian,1.174610657429131,0.8017256769244678,-0.2374866736049696,1.4120973310341007,35.0,True
2011-03-15,2011Q1,3,random_walk,0.523736364445071,-0.26369372113527234,-0.2374866736049696,0.7612230380500407,,True
2011-03-15,2011Q1,3,student_t,1.112882184120051,0.700682029041884,-0.2374866736049696,1.3503688577250206,36.0,True
2011-04-15,2011Q1,4,arma22,0.6132627941701887,-0.11714745882881426,-0.2374866736049696,0.8507494677751584,,True
2011-04-15,2011Q1,4,gaussian,1.1976139436652626,0.8393798716580356,-0.2374866736049696,1.4351006172702323,35.0,True
2011-04-15,2011Q1,4,random_walk,0.523736364445071,-0.26369372113527234,-0.2374866736049696,0.7612230380500407,,True
2011-04-15,2011Q1,4,student_t,1.1433489943916113,0.7505533037414996,-0.2374866736049696,1.380835667996581,36.0,True
2011-04-15,2011Q2,1,arma22,0.6261562041513029,-0.09604217129619917,0.6743037468666557,-0.04814754271535282,,True
