as_of,target_quarter,horizon_month,method,nowcast_livello,nowcast_z,gdp_realizzato,errore,n_iter,converged
2001-01-15,2000Q4,4,arma22,1.1276653427105203,0.56660764152025,0.5952635784890248,0.5324017642214955,,True
2001-01-15,2000Q4,4,gaussian,0.3134560071819599,-1.050479640040899,0.5952635784890248,-0.2818075713070649,37.0,True
2001-01-15,2000Q4,4,random_walk,0.1018806703717345,-1.470685809779456,0.5952635784890248,-0.4933829081172903,,True
2001-01-15,2000Q4,4,student_t,0.3157703230525184,-1.0458832167422571,0.5952635784890248,-0.2794932554365064,27.0,True
2001-01-15,2001Q1,1,arma22,0.5290461111689129,-0.622299809651914,-0.3283372449143229,0.8573833560832358,,True
2001-01-15,2001Q1,1,gaussian,0.32174782746634345,-1.0340113971237839,-0.3283372449143229,0.6500850723806664,37.0,True
2001-01-15,2001Q1,1,random_walk,0.1018806703717345,-1.470685809779456,-0.3283372449143229,0.4302179152860574,,True
2001-01-15,2001Q1,1,student_t,0.327553541133318,-1.0224807681791332,-0.3283372449143229,0.655890786047641,27.0,True
2001-02-15,2001Q1,2,arma22,0.5056322443852683,-0.6651728427529601,-0.3283372449143229,0.8339694892995912,,True
2001-02-15,2001Q1,2,gaussian,0.2657846244229938,-1.1444407744568044,-0.3283372449143229,0.5941218693373167,36.0,True
2001-02-15,2001Q1,2,random_walk,0.5952635784890248,-0.4860698601237376,-0.3283372449143229,0.9236008234033477,,True
2001-02-15,2001Q1,2,student_t,0.2526189887304081,-1.170748590181406,-0.3283372449143229,0.580956233644731,27.0,True
2001-03-15,2001Q1,3,arma22,0.5056322443852683,-0.6651728427529601,-0.3283372449143229,0.8339694892995912,,True
2001-03-15,2001Q1,3,gaussian,,,-0.3283372449143229,,-1.0,False
2001-03-15,2001Q1,3,random_walk,0.5952635784890248,-0.4860698601237376,-0.3283372449143229,0.9236008234033477,,True
2001-03-15,2001Q1,3,student_t,,,-0.3283372449143229,,-1.0,False
2001-04-15,2001Q1,4,arma22,0.5056322443852683,-0.6651728427529601,-0.3283372449143229,0.8339694892995912,,True
