metodo,horizon_week,n_trimestri,RMSE,sett_al_rilascio,pieno
ar2,-12,14,4.330519547782231,29.571428571428573,True
ar2,-11,14,4.330519547782231,28.571428571428573,True
ar2,-10,14,4.330519547782231,27.571428571428573,True
ar2,-9,14,4.330519547782231,26.571428571428573,True
ar2,-8,14,3.9245029144599193,25.571428571428573,True
ar2,-7,14,3.9245029144599193,24.571428571428573,True
ar2,-6,14,3.9245029144599193,23.571428571428573,True
ar2,-5,14,3.9245029144599193,22.571428571428573,True
ar2,-4,14,3.9245029144599193,21.571428571428573,True
ar2,-3,14,3.9245029144599193,20.571428571428573,True
ar2,-2,14,3.9245029144599193,19.571428571428573,True
ar2,-1,14,3.9245029144599193,18.571428571428573,True
ar2,0,14,3.9245029144599193,17.571428571428573,True
ar2,1,14,3.9245029144599193,16.571428571428573,True
ar2,2,14,3.9245029144599193,15.571428571428571,True
ar2,3,14,3.9245029144599193,14.571428571428571,True
ar2,4,14,3.9245029144599193,13.571428571428571,True
ar2,5,14,3.4883132133831696,12.571428571428571,True
ar2,6,14,3.4883132133831696,11.571428571428571,True
ar2,7,14,3.4883132133831696,10.571428571428571,True
ar2,8,14,3.4883132133831696,9.571428571428571,True
ar2,9,14,3.4883132133831696,8.571428571428571,True
ar2,10,14,3.4883132133831696,7.571428571428571,True
ar2,11,14,3.4883132133831696,6.571428571428571,True
ar2,12,14,3.4883132133831696,5.571428571428571,True
ar2,13,14,3.4883132133831696,4.571428571428571,True
ar2,14,14,3.4883132133831696,3.5714285714285716,True
ar2,15,14,3.4883132133831696,2.5714285714285716,True
ar2,16,14,3.4883132133831696,1.5714285714285714,True
ar2,17,14,3.4883132133831696,0.5714285714285714,True
bvar/bbvar,-12,14,3.4844630480275796,29.571428571428573,True
bvar/bbvar,-11,14,3.4418404499297535,28.571428571428573,True
bvar/bbvar,-10,14,3.4408376004801915,27.571428571428573,True
bvar/bbvar,-9,14,3.420521319266064,26.571428571428573,True
bvar/bbvar,-8,14,3.2783580812267306,25.571428571428573,True
bvar/bbvar,-7,14,3.3073680335102806,24.571428571428573,True
bvar/bbvar,-6,14,3.3937651301727456,23.571428571428573,True
bvar/bbvar,-5,14,3.4206244689790957,22.571428571428573,True
bvar/bbvar,-4,14,3.3547960572896325,21.571428571428573,True
bvar/bbvar,-3,14,3.3920036909485622,20.571428571428573,True
bvar/bbvar,-2,14,3.380975964352689,19.571428571428573,True
bvar/bbvar,-1,14,3.4489009302791183,18.571428571428573,True
bvar/bbvar,0,14,3.456577503214733,17.571428571428573,True
bvar/bbvar,1,14,3.4193849092758475,16.571428571428573,True
bvar/bbvar,2,14,3.298769621422412,15.571428571428571,True
bvar/bbvar,3,14,3.1553482495264036,14.571428571428571,True
bvar/bbvar,4,14,3.0877380919063717,13.571428571428571,True
bvar/bbvar,5,14,3.085122238274904,12.571428571428571,True
bvar/bbvar,6,14,2.806886940605669,11.571428571428571,True
bvar/bbvar,7,14,3.198130695086969,10.571428571428571,True
bvar/bbvar,8,14,2.569054091634333,9.571428571428571,True
bvar/bbvar,9,14,2.486829551817287,8.571428571428571,True
bvar/bbvar,10,14,2.534048797962738,7.571428571428571,True
bvar/bbvar,11,14,2.4557085577631197,6.571428571428571,True
bvar/bbvar,12,14,2.5525802190113467,5.571428571428571,True
bvar/bbvar,13,14,2.510539194829518,4.571428571428571,True
bvar/bbvar,14,14,2.5508685300622767,3.5714285714285716,True
bvar/bbvar,15,14,2.4293951076137814,2.5714285714285716,True
bvar/bbvar,16,14,2.157937801231511,1.5714285714285714,True
bvar/bbvar,17,14,2.180477600381111,0.5714285714285714,True
bvar/cbvar,-12,14,3.5005679250529007,29.571428571428573,True
bvar/cbvar,-11,14,3.431491990296343,28.571428571428573,True
bvar/cbvar,-10,14,3.4768291566244525,27.571428571428573,True
bvar/cbvar,-9,14,3.428853850517049,26.571428571428573,True
bvar/cbvar,-8,14,3.3977418299546907,25.571428571428573,True
bvar/cbvar,-7,14,3.437583027534118,24.571428571428573,True
bvar/cbvar,-6,14,3.4506924919049076,23.571428571428573,True
bvar/cbvar,-5,14,3.5158848215532945,22.571428571428573,True
bvar/cbvar,-4,14,3.4796604021356807,21.571428571428573,True
bvar/cbvar,-3,14,3.455460101706676,20.571428571428573,True
bvar/cbvar,-2,14,3.3523206762747995,19.571428571428573,True
bvar/cbvar,-1,14,3.407671196341128,18.571428571428573,True
bvar/cbvar,0,14,3.4655483151694924,17.571428571428573,True
bvar/cbvar,1,14,3.4181442202255155,16.571428571428573,True
bvar/cbvar,2,14,3.42285743434731,15.571428571428571,True
bvar/cbvar,3,14,3.381384513331397,14.571428571428571,True
bvar/cbvar,4,14,3.275785524788798,13.571428571428571,True
bvar/cbvar,5,14,3.147365703242701,12.571428571428571,True
bvar/cbvar,6,14,3.088120936139966,11.571428571428571,True
bvar/cbvar,7,14,3.1615419108337868,10.571428571428571,True
bvar/cbvar,8,14,2.523621210311182,9.571428571428571,True
bvar/cbvar,9,14,2.4411697931427203,8.571428571428571,True
bvar/cbvar,10,14,2.3100165443593843,7.571428571428571,True
bvar/cbvar,11,14,2.209127106637157,6.571428571428571,True
bvar/cbvar,12,14,2.0389713797479185,5.571428571428571,True
bvar/cbvar,13,14,2.019543440472793,4.571428571428571,True
bvar/cbvar,14,14,1.990541049207869,3.5714285714285716,True
bvar/cbvar,15,14,1.9248832465775256,2.5714285714285716,True
bvar/cbvar,16,14,1.8654552688143344,1.5714285714285714,True
bvar/cbvar,17,14,2.004890003047515,0.5714285714285714,True
bvar/lbvar,-12,14,4.282604545485064,29.571428571428573,True
bvar/lbvar,-11,14,4.343568162171046,28.571428571428573,True
bvar/lbvar,-10,14,4.324899840451802,27.571428571428573,True
bvar/lbvar,-9,14,4.3396357188102765,26.571428571428573,True
bvar/lbvar,-8,14,4.153706889504033,25.571428571428573,True
bvar/lbvar,-7,14,4.174322950681057,24.571428571428573,True
bvar/lbvar,-6,14,4.23191619305061,23.571428571428573,True
bvar/lbvar,-5,14,4.131209020075932,22.571428571428573,True
bvar/lbvar,-4,14,3.895067154736692,21.571428571428573,True
bvar/lbvar,-3,14,4.013517072581431,20.571428571428573,True
bvar/lbvar,-2,14,3.9633339246883503,19.571428571428573,True
bvar/lbvar,-1,14,3.952700138994966,18.571428571428573,True
bvar/lbvar,0,14,3.8640060821442157,17.571428571428573,True
bvar/lbvar,1,14,3.9803431985738125,16.571428571428573,True
bvar/lbvar,2,14,3.7311305249645255,15.571428571428571,True
bvar/lbvar,3,14,3.4797768135238583,14.571428571428571,True
bvar/lbvar,4,14,3.4318240349317777,13.571428571428571,True
bvar/lbvar,5,14,3.5595868198288443,12.571428571428571,True
bvar/lbvar,6,14,3.5159721488310796,11.571428571428571,True
bvar/lbvar,7,14,3.2960271432427284,10.571428571428571,True
bvar/lbvar,8,14,3.116611769876397,9.571428571428571,True
bvar/lbvar,9,14,3.079136492715444,8.571428571428571,True
bvar/lbvar,10,14,2.708380678883781,7.571428571428571,True
bvar/lbvar,11,14,2.6185788631276186,6.571428571428571,True
bvar/lbvar,12,14,2.658075410176242,5.571428571428571,True
bvar/lbvar,13,14,2.5196295529064274,4.571428571428571,True
bvar/lbvar,14,14,2.6037704800506307,3.5714285714285716,True
bvar/lbvar,15,14,2.614574103536534,2.5714285714285716,True
bvar/lbvar,16,14,2.4653828195193728,1.5714285714285714,True
bvar/lbvar,17,14,2.3333064566812007,0.5714285714285714,True
bvar/qbvar,-12,14,3.55127393549027,29.571428571428573,True
bvar/qbvar,-11,14,3.4418455513820505,28.571428571428573,True
bvar/qbvar,-10,14,3.524399409326019,27.571428571428573,True
bvar/qbvar,-9,14,3.5170980311793234,26.571428571428573,True
bvar/qbvar,-8,14,3.4223072446867207,25.571428571428573,True
bvar/qbvar,-7,14,3.333009971082571,24.571428571428573,True
bvar/qbvar,-6,14,3.50654230227906,23.571428571428573,True
bvar/qbvar,-5,14,3.492321874121026,22.571428571428573,True
bvar/qbvar,-4,14,3.4846048975989725,21.571428571428573,True
bvar/qbvar,-3,14,3.457979130169694,20.571428571428573,True
bvar/qbvar,-2,14,3.4541896495388964,19.571428571428573,True
bvar/qbvar,-1,14,3.500238510214874,18.571428571428573,True
bvar/qbvar,0,14,3.498618141692021,17.571428571428573,True
bvar/qbvar,1,14,3.4798747227567026,16.571428571428573,True
bvar/qbvar,2,14,3.4041272317680393,15.571428571428571,True
bvar/qbvar,3,14,3.3117713547833882,14.571428571428571,True
bvar/qbvar,4,14,3.3291337216899817,13.571428571428571,True
bvar/qbvar,5,14,3.2738881152330928,12.571428571428571,True
