metodo,n,RMSE,MAE,Bias,corr,MDA,n_dir,SignAcc,RMSE_rel_ar2,RMSE_rel_mean
bbvar/-,2277,5.209745537836322,2.577014244897261,-0.10945094175857788,0.40480698999588144,0.7041942604856513,2265,0.8203776899429074,0.7577437722187433,0.9072638058797915
cbvar/authors,2277,5.421128590790724,2.7768464880954307,-0.5366242283136137,0.3566887167538104,0.6896247240618102,2265,0.7760210803689065,0.7884888807399756,0.9440756216832846
lbvar/-,2277,5.18387846901611,2.788726058722624,-0.7788473142800796,0.4567843723518674,0.7055187637969095,2265,0.7619675010979359,0.7539814751618683,0.9027591222758921
qbvar/-,2277,5.882387814592922,3.010780099289934,-0.3878714605276846,0.1512237015884891,0.6485651214128035,2265,0.766798418972332,0.8555778204350466,1.0244027309143704
ar2,2277,6.875339301808722,2.905698374601548,-0.05298843612146569,-0.28802780853847665,0.7271523178807947,2265,0.8234519104084321,1.0,1.1973226823405487
mean,2277,5.742260965413835,2.5730116532012923,0.5698620025925568,-0.24548041110713414,0.7514348785871965,2265,0.841897233201581,0.8351967391490331,1.0
