window,modello,trimestre,mia_as_of,mia_sett,fed_as_of,fed_sett,rilascio_pil,scarto_gg,stessa_data
completo,cbvar,2007Q2,2007-07-27,17,2007-07-27,17,2007-07-28,0,True
completo,cbvar,2007Q3,2007-10-26,17,2007-10-26,17,2007-10-28,0,True
completo,cbvar,2007Q4,2008-01-25,17,2008-01-25,17,2008-01-28,0,True
completo,cbvar,2008Q1,2008-04-25,17,2008-04-25,17,2008-04-28,0,True
completo,cbvar,2008Q2,2008-07-25,17,2008-07-25,17,2008-07-28,0,True
completo,cbvar,2008Q3,2008-10-24,17,2008-10-24,17,2008-10-28,0,True
completo,cbvar,2008Q4,2009-01-23,17,2009-01-23,17,2009-01-28,0,True
completo,cbvar,2009Q1,2009-04-24,17,2009-04-24,17,2009-04-28,0,True
completo,cbvar,2009Q2,2009-07-24,17,2009-07-24,17,2009-07-28,0,True
completo,cbvar,2009Q3,2009-10-23,17,2009-10-23,17,2009-10-28,0,True
completo,cbvar,2009Q4,2010-01-22,17,2010-01-22,17,2010-01-28,0,True
completo,cbvar,2010Q1,2010-04-23,17,2010-04-23,17,2010-04-28,0,True
completo,cbvar,2010Q2,2010-07-23,17,2010-07-23,17,2010-07-28,0,True
completo,cbvar,2010Q3,2010-10-22,17,2010-10-22,17,2010-10-28,0,True
completo,cbvar,2010Q4,2011-01-21,17,2011-01-21,17,2011-01-28,0,True
completo,cbvar,2011Q1,2011-04-22,16,2011-04-22,16,2011-04-28,0,True
completo,cbvar,2011Q2,2011-07-22,17,2011-07-22,17,2011-07-28,0,True
completo,cbvar,2011Q3,2011-10-21,17,2011-10-21,17,2011-10-28,0,True
completo,cbvar,2011Q4,2012-01-27,17,2012-01-27,17,2012-01-28,0,True
completo,cbvar,2012Q1,2012-04-27,17,2012-04-27,17,2012-04-28,0,True
completo,cbvar,2012Q2,2012-07-27,17,2012-07-27,17,2012-07-28,0,True
completo,cbvar,2012Q3,2012-10-26,17,2012-10-26,17,2012-10-28,0,True
completo,cbvar,2012Q4,2013-01-25,17,2013-01-25,17,2013-01-28,0,True
completo,cbvar,2013Q1,2013-04-26,17,2013-04-26,17,2013-04-28,0,True
completo,cbvar,2013Q2,2013-07-26,17,2013-07-26,17,2013-07-28,0,True
completo,cbvar,2013Q3,2013-10-25,17,2013-10-25,17,2013-10-28,0,True
completo,cbvar,2013Q4,2014-01-24,17,2014-01-24,17,2014-01-28,0,True
completo,cbvar,2014Q1,2014-04-25,17,2014-04-25,17,2014-04-28,0,True
completo,cbvar,2014Q2,2014-07-25,17,2014-07-25,17,2014-07-28,0,True
completo,cbvar,2014Q3,2014-10-24,17,2014-10-24,17,2014-10-28,0,True
completo,cbvar,2014Q4,2015-01-23,17,2015-01-23,17,2015-01-28,0,True
completo,cbvar,2015Q1,2015-04-24,17,2015-04-24,17,2015-04-28,0,True
completo,cbvar,2015Q2,2015-07-24,17,2015-07-24,17,2015-07-28,0,True
completo,cbvar,2015Q3,2015-10-23,17,2015-10-23,17,2015-10-28,0,True
