window,metodo,n,diff_media,diff_sd,corr_fed,RMSE,RMSE_fed,quota_meglio
2007-2019,fed_overlap/gaussian,52,-0.0708164523943042,1.0039637203296141,0.8778154314113122,1.9329904145291248,1.8126701121465303,0.40384615384615385
2007-2019,fed_overlap/gaussian_ar1,52,0.1573966449864804,1.063589819675811,0.8782405612880934,1.9832548867611943,1.8126701121465303,0.4423076923076923
2007-2019,fed_overlap/student_t,52,-0.028223323150383926,0.9172054410703997,0.8670498402244122,1.8593689037744496,1.8126701121465303,0.5
2007-2019,fed_overlap/student_t_ar1,52,0.054340134378207144,1.0589895462128525,0.8814719866459894,1.9955209588867333,1.8126701121465303,0.4423076923076923
2007-2019,fed_overlap/student_t_ar1_shared,52,0.16167066354745285,0.9822213585487768,0.8826603315575081,1.9556014578064183,1.8126701121465303,0.4423076923076923
2007-2019,ar2,52,0.027851255493438528,1.6224234738067986,0.36461058232062327,2.3463375946995275,1.8126701121465303,0.5192307692307693
2007-2019,mean,52,0.5888418482740924,1.6467869616584572,-0.26732940320314824,2.614159645405601,1.8126701121465303,0.4230769230769231
2007-2021,fed_overlap/gaussian,59,0.07481199038036225,1.7388870742017115,0.9110618065530384,3.144617129372705,3.793985354850616,0.4406779661016949
2007-2021,fed_overlap/gaussian_ar1,59,0.4537979733433528,1.6645693051302624,0.8930129495304201,3.614293586982996,3.793985354850616,0.4406779661016949
2007-2021,fed_overlap/student_t,59,0.022821546568969342,1.2294888728460007,0.9263320068527883,3.7057231995835216,3.793985354850616,0.5084745762711864
2007-2021,fed_overlap/student_t_ar1,59,0.27683607833024687,1.776484076656437,0.9118934245387362,3.1588229422540017,3.793985354850616,0.4576271186440678
2007-2021,fed_overlap/student_t_ar1_shared,59,0.30590884025342713,1.219118751821555,0.9402347445785064,3.6543914480646933,3.793985354850616,0.4576271186440678
2007-2021,ar2,59,-0.5264961182516897,5.314319871290314,-0.3230592773593057,8.588061351927204,3.793985354850616,0.4745762711864407
