window,metodo,n,settimana,RMSE,MAE,Bias,corr,RMSE_rel_fed,RMSE_rel_ar2
2007-2019,diag3/gaussian,52,16.942307692307693,2.2882299438357467,1.6367828503322626,1.138216592137463,0.5587040865828925,1.2623532150182954,0.9752347441412317
2007-2019,diag3/gaussian_ar1,52,16.942307692307693,2.043569415166844,1.5435139947443122,0.6780824427907433,0.6268687094717262,1.127380763589072,0.8709613739230667
2007-2019,diag3/student_t,52,16.942307692307693,2.2845967133286,1.6029016921120036,1.103596626368879,0.560774182440593,1.2603488621673267,0.9736862753636123
2007-2019,diag3/student_t_ar1,52,16.942307692307693,2.152249855430137,1.5935320312980805,0.7015207959204842,0.5774496921006382,1.1873367586347428,0.9172805568525847
2007-2019,diag3/student_t_ar1_shared,52,16.942307692307693,2.0814296207037963,1.4885267200342716,0.7442964795705623,0.5856337017638495,1.1482671925555201,0.8870972469630248
2007-2019,nyfed,52,16.942307692307693,1.8126701121465303,1.3606309482420806,0.31298275438380424,0.665965783582342,1.0,0.7725529848055225
2007-2019,ar2,52,16.942307692307693,2.3463375946995275,1.6559122285638077,0.3408340098772428,0.3133513273777543,1.2944095999470295,1.0
2007-2019,mean,52,16.942307692307693,2.614159645405601,1.701890648582838,0.9018246026578964,-0.33964243077503137,1.4421596229166935,1.1141447212502984
2007-2021,diag3/gaussian,59,16.949152542372882,5.974504801172386,2.6125844128963345,0.9927156779291278,0.4151114564024492,1.574730591285486,0.6956756078403745
2007-2021,diag3/gaussian_ar1,59,16.949152542372882,3.5969345082563122,2.080304952801753,0.7537604538280964,0.8960324404948864,0.9480623070032745,0.4188296241559968
2007-2021,diag3/student_t,59,16.949152542372882,6.059926046490484,2.657389100986483,0.9311601689996672,0.3992802899480205,1.5972455030019712,0.7056221186788106
2007-2021,diag3/student_t_ar1,59,16.949152542372882,5.329489831509306,2.5588721972711204,0.7896180751803528,0.5964039049479217,1.404720717937286,0.6205696039087264
2007-2021,diag3/student_t_ar1_shared,59,16.949152542372882,5.105091537949854,2.421903049448515,0.7355559264129844,0.7263890424166606,1.3455749193715223,0.5944405062737758
2007-2021,nyfed,59,16.949152542372882,3.793985354850616,2.0148397178854864,0.12553591025443614,0.9026257026711619,1.0,0.44177436552653726
2007-2021,ar2,59,16.949152542372882,8.588061351927204,3.425256770453757,-0.4009602079972537,-0.5112278240068321,2.2635989727654993,1.0
2007-2021,mean,59,16.949152542372882,6.433219378892685,2.865462403437512,0.7323059810816946,-0.2724678042787592,1.695636323600407,0.7490886610223201
2007-2025,diag3/gaussian,70,16.928571428571427,5.555943412595191,2.52076746062408,0.6048402459097049,0.34862030551370266,1.5643256690019016,0.7026132470398015
2007-2025,diag3/gaussian_ar1,70,16.928571428571427,3.4003421062816486,1.978051934875004,0.5716102046720737,0.87790503245485,0.9573967992880885,0.43001255249011655
2007-2025,diag3/student_t,70,16.928571428571427,5.610354127695766,2.4959442037754718,0.6446993777203627,0.3507622237523773,1.5796454935536821,0.7094941107152498
2007-2025,diag3/student_t_ar1,70,16.928571428571427,4.9602958717969585,2.451954260386331,0.4996120243479173,0.5698076984280489,1.3966157647512223,0.6272867324135426
2007-2025,diag3/student_t_ar1_shared,70,16.928571428571427,4.746416212935388,2.308369777715929,0.49655985682278986,0.7015307710347435,1.3363960296696797,0.6002391780328007
2007-2025,nyfed,70,16.928571428571427,3.551653931588357,1.9463842266946265,0.011908496690344179,0.8941104248374541,1.0,0.44914768130608956
2007-2025,ar2,70,16.928571428571427,7.907541504523411,3.078954456747165,-0.3637454349581412,-0.49859795890014197,2.2264391905398933,1.0
2007-2025,mean,70,16.928571428571427,5.9370664140848595,2.611576814195245,0.5915539411052869,-0.2744823018827262,1.6716342663007449,0.7508106547007859
2007-2010,diag3/gaussian,16,17.0,2.878316010741807,1.8742732157486577,1.5992215747632432,0.7112942738375179,1.426165218424231,0.8730630741248846
2007-2010,diag3/gaussian_ar1,16,17.0,2.5024047917209296,1.8465363688794643,0.8970510369406812,0.7441134281454418,1.239906481099256,0.759040081773945
2007-2010,diag3/student_t,16,17.0,2.9952055678122096,1.8900667289655906,1.7022801940831598,0.7261016362975601,1.4840823547180528,0.9085185125298848
2007-2010,diag3/student_t_ar1,16,17.0,2.7459388136372738,1.9930214412342342,0.9747009491539573,0.684966761745116,1.360574173688904,0.8329098587667372
2007-2010,diag3/student_t_ar1_shared,16,17.0,2.6467456710151933,1.7424964079202248,1.1701517018641006,0.7031036237823981,1.311425362583432,0.8028221721796684
2007-2010,nyfed,16,17.0,2.0182205915258935,1.536256234360295,0.9836663277197616,0.8556991447792873,1.0,0.612175267525828
2007-2010,ar2,16,17.0,3.2968019104769595,2.160375558523543,0.853661625905716,0.3625990320215649,1.6335191129847622,1.0
2007-2010,mean,16,17.0,4.039047436896633,2.671225416605905,2.241451392553942,-0.10404739971813586,2.0012913622305653,1.225141075070625
2019-2021,diag3/gaussian,11,17.0,12.975957345508586,6.919717542102311,0.07866979050028332,0.4819357259408697,1.6321267487703388,0.674212930174035
2019-2021,diag3/gaussian_ar1,11,17.0,7.141584466725858,4.465507589042148,0.6947530527013593,0.9736498998825032,0.8982744568577479,0.37106692486649007
2019-2021,diag3/student_t,11,17.0,13.183698728458243,7.293812998419875,-0.11896045719344617,0.5276003986409168,1.6582566333646371,0.6850068872430581
2019-2021,diag3/student_t_ar1,11,17.0,11.480538111478797,6.801439533702785,0.7583575604805382,0.7218919444396665,1.4440316689625678,0.5965129996973972
2019-2021,diag3/student_t_ar1_shared,11,17.0,10.981327405774236,6.53142521467025,0.317644378861564,0.8598716745013523,1.3812405295993553,0.5705746967494595
2019-2021,nyfed,11,17.0,7.950336795401954,5.086468874445398,-1.1538610629594295,0.963024720266062,1.0,0.4130885856027996
2019-2021,ar2,11,17.0,19.246082008778878,11.053216943068845,-3.9175509410547353,-0.641385106850335,2.4207882639525122,1.0
2019-2021,mean,11,17.0,13.803243192512587,7.784846439995016,-0.3880769859151138,-0.6789008643690847,1.7361834533218314,0.7171975670796995
2024-2025,diag3/gaussian,8,17.0,2.0768907653826822,1.873701366888582,-1.1137221045557464,-0.40055003932441,1.159100917463714,1.2769329137706023
2024-2025,diag3/gaussian_ar1,8,17.0,2.264688514292683,1.6087677970273346,-0.20045644988554295,-0.24988692053003947,1.2639097724537807,1.3923964377614857
2024-2025,diag3/student_t,8,17.0,1.7774694025226554,1.5963725956965562,-0.5812921237558653,-0.3583175064657888,0.9919955587303457,1.0928399418652792
2024-2025,diag3/student_t_ar1,8,17.0,1.944771745935235,1.7472441718624818,-0.6161549397674286,-0.7586057648167946,1.0853660445428814,1.1957022938075643
2024-2025,diag3/student_t_ar1_shared,8,17.0,1.8873675170751012,1.6814482151729915,-0.42457385993776176,-0.5773085080806981,1.0533290710789363,1.1604085025100626
2024-2025,nyfed,8,17.0,1.7918118552845508,1.5742788147322264,-0.22448774264566218,-0.3445615270924807,1.0,1.1016580994213363
2024-2025,ar2,8,17.0,1.6264681902903713,1.375025846047469,0.06591937373896645,0.05520710353235406,0.9077226414667728,1.0
2024-2025,mean,8,17.0,1.6296430640864468,1.4108316878093374,0.059889101135877865,-0.6021831769551755,0.9094945204655147,1.0019520048501587
