window,n_trimestri,metodo,n,n_com,RMSE,RMSE_com,RMSE_rel_ar2,MAE,Bias,corr,MDA,MDA_com,n_dir,SignAcc
2007-2019,46,diag3/gaussian,1382,1014,2.4482261476659795,2.354392811748029,0.9665057009230339,1.7079300993064555,1.0066243067728218,0.45079667293818015,0.7358490566037735,0.7287968441814595,1378,0.8755426917510853
2007-2019,46,diag3/gaussian_ar1,1382,1014,2.4677584434008124,2.306038446015751,0.974216620601687,1.7505265012843307,0.5807430792881796,0.4572544552483693,0.727866473149492,0.7287968441814595,1378,0.8798842257597684
2007-2019,46,diag3/student_t,1382,1014,2.4328690044611063,2.3591113431870134,0.9604430394031609,1.6580384855330637,1.0013715780661852,0.4590321876845545,0.7489114658925979,0.7455621301775148,1378,0.8755426917510853
2007-2019,46,diag3/student_t_ar1,1382,1014,2.4539442644778227,2.3282218701661073,0.9687630873587024,1.7376839252806888,0.6302151219534124,0.44737662856998117,0.716255442670537,0.7120315581854043,1378,0.8806078147612156
2007-2019,46,diag3/student_t_ar1_shared,1382,1014,2.3491882629472425,2.2310060113185495,0.9274077277724436,1.6281102560865128,0.6827040154563565,0.45197261797990096,0.7264150943396226,0.7218934911242604,1378,0.8798842257597684
2007-2019,46,nyfed,1014,1014,2.18794424496853,2.18794424496853,0.8637521448252818,1.5331949213528522,0.33725144506563387,0.5024089990926789,0.7337278106508875,0.7337278106508875,1014,0.8944773175542406
2007-2019,46,ar2,1382,1014,2.533069536297479,2.484568119577841,1.0,1.7308388867705846,0.3846796237794411,0.22360104963641328,0.7177068214804064,0.7149901380670611,1378,0.8516642547033285
2007-2019,46,mean,1382,1014,2.71495695626803,2.711742303458106,1.0718051428767372,1.7734965544584613,0.8830852102903382,-0.44852777492077717,0.7387518142235123,0.7327416173570019,1378,0.8480463096960926
2007-2021,54,diag3/gaussian,1622,1173,6.545032184923039,6.28713831395481,0.8129165699367311,2.8802787668389414,0.8470179077946726,0.19282875625762036,0.7509270704573547,0.7502131287297528,1618,0.8600493218249076
2007-2021,54,diag3/gaussian_ar1,1622,1173,6.271599721453425,5.634921484389483,0.7789552731802228,2.7769993300916225,0.4754113732642599,0.3654256383900651,0.742274412855377,0.7468030690537084,1618,0.8612823674475956
2007-2021,54,diag3/student_t,1622,1173,6.502370966354145,6.297209534503804,0.8076178929419511,2.8408821870204406,0.8135482673706608,0.22947460108330028,0.7533992583436341,0.742540494458653,1618,0.8581997533908755
2007-2021,54,diag3/student_t_ar1,1622,1173,6.431146146646016,6.042050450718653,0.7987715138110936,2.94564228769838,0.667607649855559,0.26812214708532883,0.7323856613102596,0.7297527706734868,1618,0.8637484586929717
2007-2021,54,diag3/student_t_ar1_shared,1622,1173,6.240559392980303,5.825362350310216,0.7750999525891024,2.7764761871226322,0.6765867544246208,0.3525425215751329,0.7435105067985167,0.7374254049445865,1618,0.8643649815043156
2007-2021,54,nyfed,1174,1174,4.842476157035694,4.842476157035694,0.6014529793521785,2.3069765537288838,0.12751972664357805,0.6876080522178135,0.7504258943781942,0.7504258943781942,1174,0.8867120954003407
2007-2021,54,ar2,1622,1173,8.051296316216602,8.255678561634097,1.0,3.4823409970510357,-0.1764562289291865,-0.29764191709928883,0.7088998763906057,0.6956521739130435,1618,0.8076448828606658
2007-2021,54,mean,1622,1173,6.689299811998114,6.605021978678551,0.8308351288133305,3.014973305746741,0.6715085383401315,-0.2558764542836306,0.7428924598269468,0.7289002557544757,1618,0.8335388409371147
2007-2025,66,diag3/gaussian,1983,1371,5.9839415366746636,5.881671197971272,0.8164967510030208,2.6735809898890914,0.4711025918154451,0.17661298894941913,0.7402728650833754,0.7359591539022611,1979,0.8703983862834089
2007-2025,66,diag3/gaussian_ar1,1983,1371,5.752037009899159,5.291700333627207,0.7848538461560065,2.58202469701837,0.25881853057703136,0.35854149482631165,0.7367357251136938,0.7425237053245806,1979,0.8633383761976803
2007-2025,66,diag3/student_t,1983,1371,5.934020620559997,5.870970672215849,0.8096851427068991,2.6102379218463136,0.49980163142587825,0.2132422486316759,0.7443153107630116,0.7308533916849015,1979,0.8688855269793243
2007-2025,66,diag3/student_t_ar1,1983,1371,5.8716966071154015,5.644497426417484,0.8011811568014388,2.6988162793247397,0.3806187772330788,0.26651829022421764,0.729156139464376,0.7199124726477024,1979,0.8734241048915784
2007-2025,66,diag3/student_t_ar1_shared,1983,1371,5.69424130319139,5.438644948641508,0.7769677385696278,2.5473206611220713,0.4230875567901685,0.3483090728109586,0.7362304194037392,0.7264770240700219,1979,0.8739283913262733
2007-2025,66,ar2,1983,1371,7.328800181168786,7.662754828726767,1.0,3.121775967465063,-0.24112350502262223,-0.28577968799370973,0.7134916624557858,0.7075127644055434,1979,0.8275340393343419
2007-2025,66,mean,1983,1371,6.105985755803087,6.142513046660147,0.8331494384977642,2.7416299465932585,0.45156630224338434,-0.2639236815604899,0.7412834765032845,0.7359591539022611,1979,0.848714069591528
2007-2010,14,diag3/gaussian,420,309,3.490987734364153,3.2979422917094627,0.918443264722555,2.3329206685169366,1.6787162232491812,0.4812234063867544,0.7211538461538461,0.7055016181229773,416,0.7333333333333333
2007-2010,14,diag3/gaussian_ar1,420,309,3.6207771764477212,3.2949605681272613,0.952589543078203,2.5482238202076744,0.9217392989648384,0.46370842625167025,0.7524038461538461,0.7831715210355987,416,0.7476190476190476
2007-2010,14,diag3/student_t,420,309,3.528191624236937,3.374839616737542,0.9282312286671953,2.2638403614630525,1.8185076202451802,0.5018299811721368,0.7307692307692307,0.7281553398058253,416,0.7333333333333333
2007-2010,14,diag3/student_t_ar1,420,309,3.60614488690053,3.3584477661168743,0.9487399369481672,2.5532138834916527,1.0691313762813908,0.45316714926987706,0.71875,0.7313915857605178,416,0.75
2007-2010,14,diag3/student_t_ar1_shared,420,309,3.4201852542273343,3.181399657458233,0.8998158543861627,2.2730546468958392,1.2786451492978903,0.4555196106701022,0.7379807692307693,0.7475728155339806,416,0.7476190476190476
2007-2010,14,ar2,420,309,3.800983542972267,3.6672788397895055,1.0,2.515755199162658,1.1619218221955565,0.1827563098566789,0.7115384615384616,0.7281553398058253,416,0.6547619047619048
2007-2010,14,mean,420,309,4.306903480213524,4.291801320025673,1.1331023750883282,2.908755089556668,2.4628894245234605,-0.2863411623729627,0.6802884615384616,0.686084142394822,416,0.6428571428571429
2019-2021,10,diag3/gaussian,300,203,14.297857932260003,14.185995056703412,0.7973542386421792,7.9367268363593455,-0.2894326310577973,0.11304292716354111,0.8266666666666667,0.8472906403940886,300,0.8166666666666667
2019-2021,10,diag3/gaussian_ar1,300,203,13.614324857874509,12.561239346622246,0.7592353821886066,7.313408220039675,-0.46808955173290256,0.3495805578534035,0.7433333333333333,0.7389162561576355,300,0.8033333333333333
2019-2021,10,diag3/student_t,300,203,14.2048103778095,14.207950314641046,0.7921652192598423,7.964341647188087,-0.45707001676073483,0.2084568108271351,0.78,0.7192118226600985,300,0.8066666666666666
2019-2021,10,diag3/student_t_ar1,300,203,14.023249532221316,13.593148542655333,0.7820400445317763,8.29227232071476,0.33524406406844376,0.2244135384752064,0.7366666666666667,0.7142857142857143,300,0.8133333333333334
2019-2021,10,diag3/student_t_ar1_shared,300,203,13.629690174434874,13.113412092410838,0.7600922658103024,7.84070846596777,0.18370076042356326,0.35303159078225466,0.7633333333333333,0.7192118226600985,300,0.82
2019-2021,10,ar2,300,203,17.931625918999234,19.069504627048413,1.0,11.193397508523892,-3.065069134145547,-0.35823954824367726,0.5966666666666667,0.49261083743842365,300,0.6433333333333333
2019-2021,10,mean,300,203,14.438463567022895,14.693237167003012,0.8051954481007101,8.413533761658975,-0.7199419209054194,-0.4052127308852223,0.77,0.7044334975369458,300,0.8
2024-2025,6,diag3/gaussian,180,131,2.106590225755535,2.1427419151616975,1.2387221470083176,1.963127296622511,-1.1559447173531063,-0.1264406389092757,0.7388888888888889,0.7175572519083969,180,0.8333333333333334
2024-2025,6,diag3/gaussian_ar1,180,131,2.2855804427096005,2.438096471038196,1.3439723960259236,1.7220178433897604,-0.15466297890305009,-0.21131343422788312,0.7777777777777778,0.7557251908396947,180,0.8166666666666667
2024-2025,6,diag3/student_t,180,131,1.8271773604785733,1.8472460038435734,1.0744211357599203,1.6149387602548795,-0.6609446218757715,-0.015183465232751357,0.7611111111111111,0.732824427480916,180,0.8333333333333334
2024-2025,6,diag3/student_t_ar1,180,131,1.9218381724279208,1.9632557824734267,1.1300838093932755,1.7112680902599648,-0.8172896922031195,-0.045061252969204726,0.7611111111111111,0.732824427480916,180,0.8333333333333334
2024-2025,6,diag3/student_t_ar1_shared,180,131,1.8443085372655088,1.8826067058190563,1.0844946506898023,1.6029786581806904,-0.5641252721580184,-0.11865694460733194,0.7611111111111111,0.732824427480916,180,0.8333333333333334
2024-2025,6,ar2,180,131,1.7006156149248133,1.682121868266775,1.0,1.419835601386706,-0.05960561069558585,0.004269640176911738,0.7611111111111111,0.732824427480916,180,0.8333333333333334
2024-2025,6,mean,180,131,1.7011589247847796,1.6841863517620095,1.0003194783437235,1.4480851311226388,-0.08856271902638928,-0.48339246557886095,0.7611111111111111,0.732824427480916,180,0.8333333333333334
