window,metodo,n,diff_media,diff_sd,corr_fed,RMSE,RMSE_fed,quota_meglio
2007-2019,diag3/gaussian,52,0.825233837753659,1.1643023340630014,0.6970026028556113,2.2882299438357467,1.8126701121465303,0.40384615384615385
2007-2019,diag3/gaussian_ar1,52,0.3650996884069392,1.2329629300834555,0.7894985274598053,2.043569415166844,1.8126701121465303,0.36538461538461536
2007-2019,diag3/student_t,52,0.7906138719850746,1.150743910132938,0.6926119002157932,2.2845967133286,1.8126701121465303,0.4230769230769231
2007-2019,diag3/student_t_ar1,52,0.38853804153668,1.2590325697190112,0.7697799583619707,2.152249855430137,1.8126701121465303,0.34615384615384615
2007-2019,diag3/student_t_ar1_shared,52,0.43131372518675815,1.11077933611902,0.7492160398665836,2.0814296207037963,1.8126701121465303,0.36538461538461536
2007-2019,ar2,52,0.027851255493438528,1.6224234738067986,0.36461058232062327,2.3463375946995275,1.8126701121465303,0.5192307692307693
2007-2019,mean,52,0.5888418482740924,1.6467869616584572,-0.26732940320314824,2.614159645405601,1.8126701121465303,0.4230769230769231
2007-2021,diag3/gaussian,59,0.8671797676746918,2.584659790464786,0.5695166463098773,5.974504801172386,3.793985354850616,0.423728813559322
2007-2021,diag3/gaussian_ar1,59,0.6282245435736603,1.7150021511424702,0.8798929249650229,3.5969345082563122,3.793985354850616,0.3728813559322034
2007-2021,diag3/student_t,59,0.8056242587452311,2.6669830015877825,0.5557825858889639,6.059926046490484,3.793985354850616,0.423728813559322
2007-2021,diag3/student_t_ar1,59,0.6640821649259167,2.25871492933213,0.6954165287853195,5.329489831509306,3.793985354850616,0.3389830508474576
2007-2021,diag3/student_t_ar1_shared,59,0.6100200161585483,1.923892717347498,0.7987471065944347,5.105091537949854,3.793985354850616,0.3559322033898305
2007-2021,ar2,59,-0.5264961182516897,5.314319871290314,-0.3230592773593057,8.588061351927204,3.793985354850616,0.4745762711864407
2007-2021,mean,59,0.6067700708272583,3.1617075658146327,-0.2147353022388107,6.433219378892685,3.793985354850616,0.3898305084745763
2007-2025,diag3/gaussian,70,0.5929317492193609,2.462253919744978,0.5128629767974354,5.555943412595191,3.551653931588357,0.4
2007-2025,diag3/gaussian_ar1,70,0.5597017079817294,1.652174438799021,0.8688113796233863,3.4003421062816486,3.551653931588357,0.4142857142857143
2007-2025,diag3/student_t,70,0.6327908810300183,2.4854380991098273,0.5170158568994194,5.610354127695766,3.551653931588357,0.45714285714285713
2007-2025,diag3/student_t_ar1,70,0.4877035276575728,2.1163560187823105,0.6839800337502209,4.9602958717969585,3.551653931588357,0.34285714285714286
2007-2025,diag3/student_t_ar1_shared,70,0.4846513601324458,1.800831323491516,0.7868143883889606,4.746416212935388,3.551653931588357,0.37142857142857144
2007-2025,ar2,70,-0.37565393164848515,4.890717746404762,-0.31976212906384227,7.907541504523411,3.551653931588357,0.5
2007-2025,mean,70,0.5796454444149427,2.9063673520238846,-0.20641607862414568,5.9370664140848595,3.551653931588357,0.42857142857142855
2007-2010,diag3/gaussian,16,0.6155552470434816,1.800636739875968,0.7198829187435598,2.878316010741807,2.0182205915258935,0.4375
