target,realizzato,settimana,metodo,nowcast,errore,quota_catturata
2020Q3,34.85500597467652,17,bbvar/-,24.8747812916164,-9.980224683060122,0.7136645252532411
2020Q3,34.85500597467652,17,cbvar/authors,20.88495507365986,-13.970050901016663,0.5991952802657262
2020Q3,34.85500597467652,17,diag3/gaussian,2.549494663419538,-32.305511311256986,0.07314572446987506
2020Q3,34.85500597467652,17,diag3/gaussian_ar1,20.881113296276972,-13.973892678399551,0.5990850585837767
2020Q3,34.85500597467652,17,diag3/student_t,2.726007724646573,-32.12899825002995,0.07820993422371296
2020Q3,34.85500597467652,17,diag3/student_t_ar1,10.07201260037045,-24.782993374306074,0.28896889610887305
2020Q3,34.85500597467652,17,diag3/student_t_ar1_shared,10.653954703982649,-24.201051270693874,0.3056649799952164
2020Q3,34.85500597467652,17,diag4/gaussian,21.36431766628599,-13.490688308390531,0.612948328908851
2020Q3,34.85500597467652,17,diag4/gaussian_ar1,19.991113426336305,-14.863892548340218,0.5735507100719077
2020Q3,34.85500597467652,17,diag4/student_t,15.097327310299203,-19.75767866437732,0.4331465994086468
2020Q3,34.85500597467652,17,diag4/student_t_ar1,22.67568874441317,-12.179317230263354,0.6505719368083859
2020Q3,34.85500597467652,17,diag4/student_t_ar1_shared,15.25960180618493,-19.59540416849159,0.43780230068735626
2020Q3,34.85500597467652,17,fed_overlap/gaussian,22.78234774757495,-12.072658227101574,0.6536320138383331
2020Q3,34.85500597467652,17,fed_overlap/gaussian_ar1,20.05153213782853,-14.803473836847992,0.5752841400284575
2020Q3,34.85500597467652,17,fed_overlap/student_t,16.492775051138487,-18.362230923538036,0.4731823905903534
2020Q3,34.85500597467652,17,fed_overlap/student_t_ar1,23.77577951497738,-11.079226459699143,0.6821338528029913
2020Q3,34.85500597467652,17,fed_overlap/student_t_ar1_shared,16.139865560415224,-18.7151404142613,0.46305731728009014
2020Q3,34.85500597467652,17,lbvar/-,18.837537796872063,-16.01746817780446,0.5404542983168112
2020Q3,34.85500597467652,17,nyfed,13.75,-21.105005974676523,0.394491397017401
2020Q3,34.85500597467652,17,qbvar/-,22.088445632601093,-12.76656034207543,0.6337237654943793
2020Q3,34.85500597467652,17,ar2,-19.350866856141312,-54.20587283081784,-0.5551818545146843
2020Q3,34.85500597467652,17,mean,2.365139605313371,-32.48986636936315,0.06785652560300044
2020Q2,-27.97614656719044,17,bbvar/-,-21.402031712918564,6.574114854271876,0.765009993835899
2020Q2,-27.97614656719044,17,cbvar/authors,-16.906990913913695,11.069155653276745,0.6043359428829163
2020Q2,-27.97614656719044,17,diag3/gaussian,-0.7932761689494194,27.182870398241022,0.028355447990101295
2020Q2,-27.97614656719044,17,diag3/gaussian_ar1,-10.44760851015033,17.52853805704011,0.37344701798220353
2020Q2,-27.97614656719044,17,diag3/student_t,0.3172903010366434,28.293436868227083,-0.011341458348261288
2020Q2,-27.97614656719044,17,diag3/student_t_ar1,-0.7157383805940998,27.26040818659634,0.02558388014143076
2020Q2,-27.97614656719044,17,diag3/student_t_ar1_shared,-2.3825854399636803,25.59356112722676,0.08516488981931139
2020Q2,-27.97614656719044,17,diag4/gaussian,-13.549879212525228,14.426267354665212,0.48433686819528277
2020Q2,-27.97614656719044,17,diag4/gaussian_ar1,-10.87096053227734,17.1051860349131,0.38857962465161183
2020Q2,-27.97614656719044,17,diag4/student_t,-11.570994201883256,16.405152365307185,0.41360214402984863
2020Q2,-27.97614656719044,17,diag4/student_t_ar1,-13.126552787722812,14.849593779467629,0.46920517649550875
2020Q2,-27.97614656719044,17,diag4/student_t_ar1_shared,-13.066346396880125,14.909800170310316,0.4670531148919534
2020Q2,-27.97614656719044,17,fed_overlap/gaussian,-14.344000310066408,13.632146257124033,0.5127225179356405
2020Q2,-27.97614656719044,17,fed_overlap/gaussian_ar1,-10.788465934238332,17.18768063295211,0.38563087694467224
2020Q2,-27.97614656719044,17,fed_overlap/student_t,-12.715340021248888,15.260806545941552,0.45450648432622404
2020Q2,-27.97614656719044,17,fed_overlap/student_t_ar1,-13.350199492039527,14.625947075150913,0.47719936911169275
2020Q2,-27.97614656719044,17,fed_overlap/student_t_ar1_shared,-14.180972167373474,13.795174399816966,0.5068951198591617
2020Q2,-27.97614656719044,17,lbvar/-,-25.535365108746817,2.440781458443624,0.9127549088084169
2020Q2,-27.97614656719044,17,nyfed,-14.27,13.70614656719044,0.5100773963178837
2020Q2,-27.97614656719044,17,qbvar/-,-18.422499678755266,9.553646888435175,0.6585074050319927
2020Q2,-27.97614656719044,17,ar2,0.3034144098293501,28.27956097701979,-0.01084546826706953
2020Q2,-27.97614656719044,17,mean,2.620680363638006,30.596826930828446,-0.09367553023587097
2008Q4,-8.472768957225274,17,bbvar/-,-2.192864011445084,6.279904945780189,0.25881314863130883
