as_of,target_quarter,horizon_week,spec,variant,log_score,realizzato_bea,n_draws,reestimated
2011-01-28,2011Q1,4,bbvar,-,-5.0874883699036175,-0.9454489541211974,1000,True
2011-01-28,2011Q2,-8,bbvar,-,-1.660630511308798,2.7339190839842376,1000,True
2011-02-04,2011Q1,5,bbvar,-,-5.028004598483177,-0.9454489541211974,1000,False
2011-02-04,2011Q2,-7,bbvar,-,-1.6168803941324734,2.7339190839842376,1000,False
2011-02-11,2011Q1,6,bbvar,-,-5.527036101087381,-0.9454489541211974,1000,False
2011-02-11,2011Q2,-6,bbvar,-,-1.6860084834060578,2.7339190839842376,1000,False
2011-02-18,2011Q1,7,bbvar,-,-6.197231557759203,-0.9454489541211974,1000,False
2011-02-18,2011Q2,-5,bbvar,-,-1.6210620818922012,2.7339190839842376,1000,False
2011-02-25,2011Q1,8,bbvar,-,-5.953684500623783,-0.9454489541211974,1000,False
2011-02-25,2011Q2,-4,bbvar,-,-1.779149818704168,2.7339190839842376,1000,False
2011-03-04,2011Q1,9,bbvar,-,-7.588750595111106,-0.9454489541211974,1000,False
2011-03-04,2011Q2,-3,bbvar,-,-1.5953862533614875,2.7339190839842376,1000,False
2011-03-11,2011Q1,10,bbvar,-,-5.2830820046691755,-0.9454489541211974,1000,False
2011-03-11,2011Q2,-2,bbvar,-,-1.7646983111498995,2.7339190839842376,1000,False
2011-03-18,2011Q1,11,bbvar,-,-5.49800253194455,-0.9454489541211974,1000,False
2011-03-18,2011Q2,-1,bbvar,-,-1.604799636885076,2.7339190839842376,1000,False
2011-03-25,2011Q1,12,bbvar,-,-5.647208717040797,-0.9454489541211974,1000,False
2011-03-25,2011Q2,0,bbvar,-,-1.531639995101675,2.7339190839842376,1000,False
2011-04-01,2011Q1,13,bbvar,-,-6.712784920097182,-0.9454489541211974,1000,False
2011-04-01,2011Q2,1,bbvar,-,-1.6382140561440606,2.7339190839842376,1000,False
2011-04-01,2011Q3,-12,bbvar,-,-2.1691841886506698,-0.08922107662069356,1000,False
2011-04-08,2011Q1,14,bbvar,-,-7.288561156432518,-0.9454489541211974,1000,False
2011-04-08,2011Q2,2,bbvar,-,-1.6720674939521145,2.7339190839842376,1000,False
2011-04-08,2011Q3,-11,bbvar,-,-2.2783619583587855,-0.08922107662069356,1000,False
2011-04-15,2011Q1,15,bbvar,-,-7.2525596920949305,-0.9454489541211974,1000,False
2011-04-15,2011Q2,3,bbvar,-,-1.6076428004801984,2.7339190839842376,1000,False
2011-04-15,2011Q3,-10,bbvar,-,-2.2487980476934597,-0.08922107662069356,1000,False
2011-04-22,2011Q1,16,bbvar,-,-6.044892893735453,-0.9454489541211974,1000,False
2011-04-22,2011Q2,4,bbvar,-,-1.6447097095659573,2.7339190839842376,1000,False
2011-04-22,2011Q3,-9,bbvar,-,-2.3432553837185206,-0.08922107662069356,1000,False
