as_of,target_quarter,horizon_week,spec,variant,nowcast_bea,nowcast_livello,nowcast_z,sd_z,realizzato_bea,realizzato_livello,errore_bea,gdp_release_date,n_releases,n_iter,converged,reestimated
2012-02-03,2012Q1,5,lbvar,-,0.34989198049095727,0.34928128260825825,,1.8375757430240638,3.396793738645587,3.3403767275155727,-3.04690175815463,2012-04-28,12,250,True,True
2012-02-03,2012Q2,-8,lbvar,-,1.1245472323910155,1.1182712074148302,,2.377838143473362,1.7973274732638433,1.7813665065292486,-0.6727802408728278,2012-07-28,12,250,True,True
2012-02-10,2012Q1,6,lbvar,-,0.7812392284255898,0.7782033561310904,,1.8817467379341586,3.396793738645587,3.3403767275155727,-2.6155545102199973,2012-04-28,7,250,True,False
2012-02-10,2012Q2,-7,lbvar,-,0.6716130440931778,0.6693677711126169,,2.2129999104256366,1.7973274732638433,1.7813665065292486,-1.1257144291706656,2012-07-28,7,250,True,False
2012-02-17,2012Q1,7,lbvar,-,1.267160329502337,1.259199037346748,,1.7891879318198574,3.396793738645587,3.3403767275155727,-2.12963340914325,2012-04-28,10,250,True,False
2012-02-17,2012Q2,-6,lbvar,-,1.1400023789797875,1.1335533185396378,,2.1735843160487573,1.7973274732638433,1.7813665065292486,-0.6573250942840558,2012-07-28,10,250,True,False
2012-02-24,2012Q1,8,lbvar,-,1.442653394050819,1.4323461634466423,,1.590002827539493,3.396793738645587,3.3403767275155727,-1.954140344594768,2012-04-28,2,250,True,False
2012-02-24,2012Q2,-5,lbvar,-,1.0780208447416118,1.0722516252572292,,2.2112396382762447,1.7973274732638433,1.7813665065292486,-0.7193066285222316,2012-07-28,2,250,True,False
2012-03-02,2012Q1,9,lbvar,-,0.9166426302029684,0.9124669595663887,,1.5830774524314728,3.396793738645587,3.3403767275155727,-2.4801511084426187,2012-04-28,11,250,True,False
2012-03-02,2012Q2,-4,lbvar,-,1.1076290564971059,1.101539769081091,,2.2604354797012705,1.7973274732638433,1.7813665065292486,-0.6896984167667375,2012-07-28,11,250,True,False
2012-03-09,2012Q1,10,lbvar,-,1.0231402734171446,1.0179416229101028,,1.5017410816987449,3.396793738645587,3.3403767275155727,-2.3736534652284424,2012-04-28,9,250,True,False
2012-03-09,2012Q2,-3,lbvar,-,0.8018726843441737,0.7986747694304062,,2.219760385290565,1.7973274732638433,1.7813665065292486,-0.9954547889196697,2012-07-28,9,250,True,False
2012-03-16,2012Q1,11,lbvar,-,1.4322498514186655,1.4220900475103255,,1.6782468491759246,3.396793738645587,3.3403767275155727,-1.9645438872269216,2012-04-28,8,250,True,False
2012-03-16,2012Q2,-2,lbvar,-,1.4312752522876893,1.421129205357469,,2.2111820636826853,1.7973274732638433,1.7813665065292486,-0.3660522209761541,2012-07-28,8,250,True,False
2012-03-23,2012Q1,12,lbvar,-,1.4671250179711604,1.4564668581026663,,1.480176738306442,3.396793738645587,3.3403767275155727,-1.9296687206744267,2012-04-28,4,250,True,False
2012-03-23,2012Q2,-1,lbvar,-,1.567872213347432,1.5557080776153445,,2.1368441107439082,1.7973274732638433,1.7813665065292486,-0.22945525991641125,2012-07-28,4,250,True,False
2012-03-30,2012Q1,13,lbvar,-,1.3526860797140605,1.3436189565271353,,1.563112974937666,3.396793738645587,3.3403767275155727,-2.0441076589315266,2012-04-28,8,250,True,False
2012-03-30,2012Q2,0,lbvar,-,1.944478452068421,1.925815019413092,,2.122442996009968,1.7973274732638433,1.7813665065292486,0.14715097880457773,2012-07-28,8,250,True,False
2012-04-06,2012Q1,14,lbvar,-,1.5380619542364027,1.5263536823858181,,1.4268326660429123,3.396793738645587,3.3403767275155727,-1.8587317844091844,2012-04-28,10,250,True,False
2012-04-06,2012Q2,1,lbvar,-,0.6386852674867272,0.6366543161366187,,2.0400367806605533,1.7973274732638433,1.7813665065292486,-1.1586422057771162,2012-07-28,10,250,True,False
2012-04-06,2012Q3,-12,lbvar,-,0.5823460679181491,0.5806569875603032,,2.2679677326645034,0.5773578286532466,0.575697505945138,0.00498823926490255,2012-10-28,10,250,True,False
2012-04-13,2012Q1,15,lbvar,-,1.7108687740556405,1.6963982290798465,,1.5154075467032333,3.396793738645587,3.3403767275155727,-1.6859249645899466,2012-04-28,6,250,True,False
2012-04-13,2012Q2,2,lbvar,-,0.8375910926074481,0.8341027635024223,,2.0023006784661197,1.7973274732638433,1.7813665065292486,-0.9597363806563952,2012-07-28,6,250,True,False
2012-04-13,2012Q3,-11,lbvar,-,0.943189203121686,0.9387689462773225,,2.267757945022721,0.5773578286532466,0.575697505945138,0.3658313744684394,2012-10-28,6,250,True,False
2012-04-20,2012Q1,16,lbvar,-,1.6706225961507726,1.6568211976016607,,1.4363589018090799,3.396793738645587,3.3403767275155727,-1.7261711424948145,2012-04-28,8,250,True,False
2012-04-20,2012Q2,3,lbvar,-,0.6823116459986789,0.6799944345183941,,1.9769550755187835,1.7973274732638433,1.7813665065292486,-1.1150158272651645,2012-07-28,8,250,True,False
2012-04-20,2012Q3,-10,lbvar,-,1.322708438971354,1.3140370321573744,,2.358939432925388,0.5773578286532466,0.575697505945138,0.7453506103181073,2012-10-28,8,250,True,False
