as_of,target_quarter,horizon_week,spec,variant,log_score,realizzato_bea,n_draws,reestimated
2015-01-30,2015Q1,5,bbvar,-,-1.502360360145738,3.650885031119766,1000,True
2015-01-30,2015Q2,-8,bbvar,-,-1.744081212510411,2.5007353109643082,1000,True
2015-02-06,2015Q1,6,bbvar,-,-1.5057448214380074,3.650885031119766,1000,False
2015-02-06,2015Q2,-7,bbvar,-,-1.8702960883127564,2.5007353109643082,1000,False
2015-02-13,2015Q1,7,bbvar,-,-1.5833579200181496,3.650885031119766,1000,False
2015-02-13,2015Q2,-6,bbvar,-,-1.8413913352576003,2.5007353109643082,1000,False
2015-02-20,2015Q1,8,bbvar,-,-1.3809495245141508,3.650885031119766,1000,False
2015-02-20,2015Q2,-5,bbvar,-,-1.8579453046769694,2.5007353109643082,1000,False
2015-02-27,2015Q1,9,bbvar,-,-1.3877366164146223,3.650885031119766,1000,False
2015-02-27,2015Q2,-4,bbvar,-,-1.9187793218933455,2.5007353109643082,1000,False
2015-03-06,2015Q1,10,bbvar,-,-1.5499181039894316,3.650885031119766,1000,False
2015-03-06,2015Q2,-3,bbvar,-,-1.928122334340241,2.5007353109643082,1000,False
2015-03-13,2015Q1,11,bbvar,-,-1.5104747688109517,3.650885031119766,1000,False
2015-03-13,2015Q2,-2,bbvar,-,-1.9282668031849952,2.5007353109643082,1000,False
2015-03-20,2015Q1,12,bbvar,-,-1.54216831172022,3.650885031119766,1000,False
2015-03-20,2015Q2,-1,bbvar,-,-1.7137022032657634,2.5007353109643082,1000,False
2015-03-27,2015Q1,13,bbvar,-,-1.4145357440262931,3.650885031119766,1000,False
2015-03-27,2015Q2,0,bbvar,-,-1.847832823076081,2.5007353109643082,1000,False
2015-04-03,2015Q1,14,bbvar,-,-1.4468869936616995,3.650885031119766,1000,False
2015-04-03,2015Q2,1,bbvar,-,-1.741614081743653,2.5007353109643082,1000,False
2015-04-03,2015Q3,-12,bbvar,-,-3.133651513168364,1.6106176842981101,1000,False
2015-04-10,2015Q1,15,bbvar,-,-1.3145583460503234,3.650885031119766,1000,False
2015-04-10,2015Q2,2,bbvar,-,-1.729890723064228,2.5007353109643082,1000,False
2015-04-10,2015Q3,-11,bbvar,-,-2.950187452110748,1.6106176842981101,1000,False
2015-04-17,2015Q1,16,bbvar,-,-1.4393751390236043,3.650885031119766,1000,False
2015-04-17,2015Q2,3,bbvar,-,-1.7837021557674786,2.5007353109643082,1000,False
2015-04-17,2015Q3,-10,bbvar,-,-2.9742520578458067,1.6106176842981101,1000,False
2015-04-24,2015Q1,17,bbvar,-,-1.523582644549332,3.650885031119766,1000,False
2015-04-24,2015Q2,4,bbvar,-,-1.5985454936903145,2.5007353109643082,1000,False
2015-04-24,2015Q3,-9,bbvar,-,-2.8706691786727725,1.6106176842981101,1000,False
