as_of,target_quarter,horizon_week,spec,variant,nowcast_bea,nowcast_livello,nowcast_z,sd_z,realizzato_bea,realizzato_livello,errore_bea,gdp_release_date,n_releases,n_iter,converged,reestimated
2023-11-03,2023Q4,5,lbvar,-,-1.374819634562091,-1.3843578023340934,,3.2855766486832034,3.4192155752948095,3.3620596105877665,-4.794035209856901,2024-01-28,12,250,True,True
2023-11-03,2024Q1,-8,lbvar,-,0.10230987269237435,0.10225757181172591,,4.189455384493742,0.8420915771010673,0.8385657658582282,-0.739781704408693,2024-04-28,12,250,True,True
2023-11-10,2023Q4,6,lbvar,-,-0.6684547711862887,-0.6706989365028454,,3.3512966597820326,3.4192155752948095,3.3620596105877665,-4.087670346481098,2024-01-28,7,250,True,False
2023-11-10,2024Q1,-7,lbvar,-,-0.1673866506726629,-0.16752689865289458,,4.270950799987251,0.8420915771010673,0.8385657658582282,-1.0094782277737302,2024-04-28,7,250,True,False
2023-11-17,2023Q4,7,lbvar,-,-0.9624444681604838,-0.9671058981608542,,2.515970457827009,3.4192155752948095,3.3620596105877665,-4.381660043455293,2024-01-28,10,250,True,False
2023-11-17,2024Q1,-6,lbvar,-,0.32632727192994926,0.325795980007776,,4.197598812951349,0.8420915771010673,0.8385657658582282,-0.515764305171118,2024-04-28,10,250,True,False
2023-11-24,2023Q4,8,lbvar,-,-0.17477114302560381,-0.17492404596722633,,2.5621898892813997,3.4192155752948095,3.3620596105877665,-3.593986718320413,2024-01-28,2,250,True,False
2023-11-24,2024Q1,-5,lbvar,-,0.16262900169213834,0.16249690393130167,,3.960589758378233,0.8420915771010673,0.8385657658582282,-0.679462575408929,2024-04-28,2,250,True,False
2023-12-01,2023Q4,9,lbvar,-,-0.001212793942600987,-0.0012128012970061856,,2.350515719184994,3.4192155752948095,3.3620596105877665,-3.4204283692374107,2024-01-28,11,250,True,False
2023-12-01,2024Q1,-4,lbvar,-,-0.44363971139560476,-0.44462671259786835,,4.054752538878476,0.8420915771010673,0.8385657658582282,-1.285731288496672,2024-04-28,11,250,True,False
2023-12-08,2023Q4,10,lbvar,-,0.540649659867587,0.5391933960927439,,2.2237577263571215,3.4192155752948095,3.3620596105877665,-2.8785659154272225,2024-01-28,9,250,True,False
2023-12-08,2024Q1,-3,lbvar,-,-1.2293704983470433,-1.2369897678899515,,3.830810236734382,0.8420915771010673,0.8385657658582282,-2.0714620754481103,2024-04-28,9,250,True,False
2023-12-15,2023Q4,11,lbvar,-,0.6624443252554735,0.6602598050150357,,1.9154607271364432,3.4192155752948095,3.3620596105877665,-2.756771250039336,2024-01-28,6,250,True,False
2023-12-15,2024Q1,-2,lbvar,-,-1.0966059837109354,-1.1026630291143307,,3.7853859786795505,0.8420915771010673,0.8385657658582282,-1.9386975608120027,2024-04-28,6,250,True,False
2023-12-22,2023Q4,12,lbvar,-,0.39463827565499043,0.39386162145785325,,1.89827150219641,3.4192155752948095,3.3620596105877665,-3.024577299639819,2024-01-28,6,250,True,False
2023-12-22,2024Q1,-1,lbvar,-,-1.2822489257240222,-1.290540694264895,,4.094136706686992,0.8420915771010673,0.8385657658582282,-2.1243405028250892,2024-04-28,6,250,True,False
2023-12-29,2023Q4,13,lbvar,-,0.7376019941677248,0.7348950136702295,,1.9192645918501545,3.4192155752948095,3.3620596105877665,-2.6816135811270847,2024-01-28,4,250,True,False
2023-12-29,2024Q1,0,lbvar,-,-1.8809793998258384,-1.8988948300961046,,3.939304651838617,0.8420915771010673,0.8385657658582282,-2.7230709769269055,2024-04-28,4,250,True,False
2024-01-05,2023Q4,14,lbvar,-,1.1334951354908473,1.12711921464452,,1.336365970738903,3.4192155752948095,3.3620596105877665,-2.285720439803962,2024-01-28,13,250,True,False
2024-01-05,2024Q1,1,lbvar,-,-1.994074622998404,-2.014224611470628,,3.94817988182679,0.8420915771010673,0.8385657658582282,-2.8361662000994716,2024-04-28,13,250,True,False
2024-01-05,2024Q2,-12,lbvar,-,1.6873983590828812,1.6733199448764051,,3.9271508074037436,3.5892686664036777,3.526355417094438,-1.9018703073207965,2024-07-28,13,250,True,False
2024-01-12,2023Q4,15,lbvar,-,1.0900375440004995,1.0841394569639895,,1.325073859237607,3.4192155752948095,3.3620596105877665,-2.32917803129431,2024-01-28,4,250,True,False
2024-01-12,2024Q1,2,lbvar,-,-2.982589605268765,-3.0279734985384423,,3.81125972098873,0.8420915771010673,0.8385657658582282,-3.824681182369832,2024-04-28,4,250,True,False
