window,metodo,n,diff_media,diff_sd,corr_fed,RMSE,RMSE_fed,quota_meglio
2007-2019,diag4/gaussian,52,0.13203119034795607,0.9779855382333783,0.8953644098870723,1.949879602920608,1.8126701121465303,0.4423076923076923
2007-2019,diag4/gaussian_ar1,52,0.07381387136935305,1.0809076331710439,0.8786588696568578,1.9577935938717186,1.8126701121465303,0.5192307692307693
2007-2019,diag4/student_t,52,0.14600808130946744,0.8479633682819975,0.8962920655697133,1.9034163251701597,1.8126701121465303,0.46153846153846156
2007-2019,diag4/student_t_ar1,52,-0.03872159968323637,1.0531731947603165,0.8829540977888113,1.9671477888175168,1.8126701121465303,0.4423076923076923
2007-2019,diag4/student_t_ar1_shared,52,0.1357200548738755,0.9243279670950248,0.8899656879235848,1.9076160666908881,1.8126701121465303,0.46153846153846156
2007-2019,ar2,52,0.027851255493438528,1.6224234738067986,0.36461058232062327,2.3463375946995275,1.8126701121465303,0.5192307692307693
2007-2019,mean,52,0.5888418482740924,1.6467869616584572,-0.26732940320314824,2.614159645405601,1.8126701121465303,0.4230769230769231
2007-2021,diag4/gaussian,59,0.316691065318028,1.5562669814420311,0.9238542574574434,3.2678585395284103,3.793985354850616,0.4576271186440678
2007-2021,diag4/gaussian_ar1,59,0.3793413625439499,1.6855588336024432,0.8920006611228803,3.596848043988371,3.793985354850616,0.5084745762711864
2007-2021,diag4/student_t,59,0.22823963870111655,1.1078442962175923,0.9367655518565361,3.8896185706899686,3.793985354850616,0.4745762711864407
2007-2021,diag4/student_t_ar1,59,0.1886967681205504,1.6628894060560073,0.9169749051392705,3.223653986838165,3.793985354850616,0.4576271186440678
2007-2021,diag4/student_t_ar1_shared,59,0.28081531410582916,1.059278945928436,0.9505679931193524,3.671121120214136,3.793985354850616,0.4915254237288136
2007-2021,ar2,59,-0.5264961182516897,5.314319871290314,-0.3230592773593057,8.588061351927204,3.793985354850616,0.4745762711864407
2007-2021,mean,59,0.6067700708272583,3.1617075658146327,-0.2147353022388107,6.433219378892685,3.793985354850616,0.3898305084745763
2007-2025,diag4/gaussian,70,0.2459759513889094,1.5197210257454468,0.912831887636217,3.107305232538734,3.551653931588357,0.4714285714285714
2007-2025,diag4/gaussian_ar1,70,0.33554882926398405,1.614643835734752,0.882805244981616,3.394138462575375,3.551653931588357,0.5285714285714286
2007-2025,diag4/student_t,70,0.19647338027891217,1.086997500401321,0.9281595016454189,3.6429654729201073,3.551653931588357,0.5
2007-2025,diag4/student_t_ar1,70,0.19699669788912627,1.6083643228315652,0.9066377247467935,3.0648201091177643,3.551653931588357,0.4857142857142857
2007-2025,diag4/student_t_ar1_shared,70,0.2787702863860389,1.064634366831455,0.9406710520032192,3.45183788324029,3.551653931588357,0.5142857142857142
2007-2025,ar2,70,-0.37565393164848515,4.890717746404762,-0.31976212906384227,7.907541504523411,3.551653931588357,0.5
2007-2025,mean,70,0.5796454444149427,2.9063673520238846,-0.20641607862414568,5.9370664140848595,3.551653931588357,0.42857142857142855
2007-2010,diag4/gaussian,16,0.04081296686369293,1.3893619164810032,0.9376539595418757,2.2807916612704253,2.0182205915258935,0.3125
2007-2010,diag4/gaussian_ar1,16,-0.24897614307328736,1.5223737980179388,0.926699911185556,2.3302417184588315,2.0182205915258935,0.5
2007-2010,diag4/student_t,16,0.11732136041930544,1.1133919746252257,0.940711664003594,2.200853818996962,2.0182205915258935,0.375
