window,trimestre,realizzato,fed,err_fed,mio_migliore,err_migliore,mio_peggiore,err_peggiore
2007-2019,2006Q4,3.4823729200428755,1.78,-1.7023729200428754,diag4/student_t,-0.8817363046103699,diag4/student_t_ar1_shared,-1.2700953044158636
2007-2019,2007Q1,1.2087836914185912,2.4,1.1912163085814087,diag4/student_t,2.4113560109848775,diag4/gaussian_ar1,2.8038471093148276
2007-2019,2007Q2,2.4695947150627617,3.25,0.7804052849372383,diag4/student_t_ar1,0.9815721538978917,diag4/gaussian,1.3955346264419077
2007-2019,2007Q3,2.3240880884577653,1.99,-0.3340880884577653,diag4/student_t_ar1,0.046860484414490866,diag4/student_t,0.2397450690705405
2007-2019,2007Q4,2.5367271478347497,1.49,-1.0467271478347497,diag4/student_t_ar1_shared,0.3071822136819553,diag4/gaussian_ar1,0.34762560097798545
2007-2019,2008Q1,-1.6961606735480972,1.43,3.126160673548097,diag4/student_t_ar1,3.7825056469480423,diag4/student_t,3.869937905893739
2007-2019,2008Q2,2.403069701864058,1.99,-0.4130697018640579,diag4/student_t,-1.7367060392567746,diag4/gaussian_ar1,-2.673081305828384
2007-2019,2008Q3,-2.0845363314131338,-0.52,1.5645363314131338,diag4/gaussian,0.6652091035925234,diag4/student_t_ar1_shared,1.407375563394797
2007-2019,2008Q4,-8.472768957225274,-3.47,5.002768957225273,diag4/gaussian_ar1,4.86655069968711,diag4/student_t,5.390105018378388
2007-2019,2009Q1,-4.462803810727223,-3.57,0.8928038107272234,diag4/student_t,-1.0872330786710673,diag4/gaussian_ar1,-2.944311680232147
2007-2019,2009Q2,-0.7126911125331037,0.04,0.7526911125331037,diag4/student_t,-0.881339517607882,diag4/student_t_ar1,-2.1437496034777737
2007-2019,2009Q3,1.412187087697636,5.2,3.787812912302364,diag4/student_t_ar1_shared,2.8322082629229417,diag4/student_t_ar1,3.2115831933379413
2007-2019,2009Q4,4.394263592305325,4.32,-0.07426359230532498,diag4/gaussian_ar1,-0.04271553315673415,diag4/gaussian,0.3246396746028779
