window,metodo,n,settimana,RMSE,MAE,Bias,corr,RMSE_rel_fed,RMSE_rel_ar2
2007-2019,diag4/gaussian,52,16.942307692307693,1.949879602920608,1.5315656908636237,0.4450139447317602,0.6478843181764335,1.0756946836904575,0.8310311386244953
2007-2019,diag4/gaussian_ar1,52,16.942307692307693,1.9577935938717186,1.5342086783219306,0.38679662575315726,0.6475658493538647,1.080060613761285,0.8344040509321652
2007-2019,diag4/student_t,52,16.942307692307693,1.9034163251701597,1.4679851278898892,0.4589908356932716,0.6500152861197946,1.050062177566424,0.8112286695103275
2007-2019,diag4/student_t_ar1,52,16.942307692307693,1.9671477888175168,1.5505820317981003,0.2742611547005678,0.6344134176345839,1.0852210645698002,0.8383907726072258
2007-2019,diag4/student_t_ar1_shared,52,16.942307692307693,1.9076160666908881,1.484744293288283,0.44870280925767975,0.6545040088980889,1.0523790588856372,0.8130185830889258
2007-2019,nyfed,52,16.942307692307693,1.8126701121465303,1.3606309482420806,0.31298275438380424,0.665965783582342,1.0,0.7725529848055225
2007-2019,ar2,52,16.942307692307693,2.3463375946995275,1.6559122285638077,0.3408340098772428,0.3133513273777543,1.2944095999470295,1.0
2007-2019,mean,52,16.942307692307693,2.614159645405601,1.701890648582838,0.9018246026578964,-0.33964243077503137,1.4421596229166935,1.1141447212502984
2007-2021,diag4/gaussian,59,16.949152542372882,3.2678585395284103,2.028400842776121,0.4422269755724641,0.9128031074130172,0.8613260816493263,0.38051178323208956
2007-2021,diag4/gaussian_ar1,59,16.949152542372882,3.596848043988371,2.110790522885277,0.504877272798386,0.8806826407843948,0.9480395171767849,0.4188195561948589
2007-2021,diag4/student_t,59,16.949152542372882,3.8896185706899686,2.115672367603274,0.3537755489555528,0.8880854072726864,1.0252065326812834,0.45290996550893514
2007-2021,diag4/student_t_ar1,59,16.949152542372882,3.223653986838165,2.0131230714083164,0.31423267837498653,0.9103221827680583,0.8496748630610075,0.375364573532624
2007-2021,diag4/student_t_ar1_shared,59,16.949152542372882,3.671121120214136,2.022702436709831,0.40635122436026533,0.8958743941690838,0.9676160493135805,0.42746796625880157
2007-2021,nyfed,59,16.949152542372882,3.793985354850616,2.0148397178854864,0.12553591025443614,0.9026257026711619,1.0,0.44177436552653726
2007-2021,ar2,59,16.949152542372882,8.588061351927204,3.425256770453757,-0.4009602079972537,-0.5112278240068321,2.2635989727654993,1.0
2007-2021,mean,59,16.949152542372882,6.433219378892685,2.865462403437512,0.7323059810816946,-0.2724678042787592,1.695636323600407,0.7490886610223201
2007-2025,diag4/gaussian,70,16.928571428571427,3.107305232538734,1.959994244359752,0.2578844480792536,0.897003062328848,0.87488964082407,0.3929546535748486
2007-2025,diag4/gaussian_ar1,70,16.928571428571427,3.394138462575375,2.0064688838836036,0.3474573259543283,0.8661382787392624,0.9556501077956832,0.42922803005634563
2007-2025,diag4/student_t,70,16.928571428571427,3.6429654729201073,2.0050389959811836,0.20838187696925634,0.8758600371965445,1.025709582940958,0.46069508087136746
2007-2025,diag4/student_t_ar1,70,16.928571428571427,3.0648201091177643,1.9106210893240945,0.20890519457947038,0.896954341161252,0.8629275735057687,0.3875819187752062
2007-2025,diag4/student_t_ar1_shared,70,16.928571428571427,3.45183788324029,1.9116154455988266,0.29067878307638306,0.8833667549240816,0.9718958968777041,0.4365247885535231
2007-2025,nyfed,70,16.928571428571427,3.551653931588357,1.9463842266946265,0.011908496690344179,0.8941104248374541,1.0,0.44914768130608956
2007-2025,ar2,70,16.928571428571427,7.907541504523411,3.078954456747165,-0.3637454349581412,-0.49859795890014197,2.2264391905398933,1.0
2007-2025,mean,70,16.928571428571427,5.9370664140848595,2.611576814195245,0.5915539411052869,-0.2744823018827262,1.6716342663007449,0.7508106547007859
