metodo,n,n_com,LS_medio,LS_medio_com,LS_mediano
cbvar/authors,2277,2277,-4.0150928483327215,-4.0150928483327215,-2.3102520477075448
lbvar/-,2277,2277,-11.114379038425433,-11.114379038425433,-2.092991211209233
bbvar/-,2277,2277,-22.4592640772709,-22.4592640772709,-2.0940099819070666
qbvar/-,2277,2277,-28.201037272032174,-28.201037272032174,-2.3170584840984434
