metodo,n,n_com,LS_medio,LS_medio_com,LS_mediano
cbvar/authors,2247,2247,-3.483816956963632,-3.483816956963632,-2.303562061614932
lbvar/-,2247,2247,-10.801612352060909,-10.801612352060909,-2.126392200462754
bbvar/-,2247,2247,-21.994427730868463,-21.994427730868463,-2.089247935170313
qbvar/-,2247,2247,-27.606421284420612,-27.606421284420612,-2.3021651857811074
