as_of,target_quarter,horizon_week,spec,variant,log_score,realizzato_bea,n_draws,reestimated
2008-02-01,2008Q1,5,qbvar,-,-2.9241071168858817,-1.6961606735480972,1000,True
2008-02-01,2008Q2,-8,qbvar,-,-1.640526003303507,2.403069701864058,1000,True
2008-02-08,2008Q1,6,qbvar,-,-3.1016815418710486,-1.6961606735480972,1000,False
2008-02-08,2008Q2,-7,qbvar,-,-1.667891492630821,2.403069701864058,1000,False
2008-02-15,2008Q1,7,qbvar,-,-2.619052764135043,-1.6961606735480972,1000,False
2008-02-15,2008Q2,-6,qbvar,-,-1.702153386965295,2.403069701864058,1000,False
2008-02-22,2008Q1,8,qbvar,-,-3.0166792500250517,-1.6961606735480972,1000,False
2008-02-22,2008Q2,-5,qbvar,-,-1.820919302077079,2.403069701864058,1000,False
2008-02-29,2008Q1,9,qbvar,-,-2.9115368432103113,-1.6961606735480972,1000,False
2008-02-29,2008Q2,-4,qbvar,-,-1.7058310937836194,2.403069701864058,1000,False
2008-03-07,2008Q1,10,qbvar,-,-2.6776121993917483,-1.6961606735480972,1000,False
2008-03-07,2008Q2,-3,qbvar,-,-1.6537060467285407,2.403069701864058,1000,False
2008-03-14,2008Q1,11,qbvar,-,-2.7996709346800737,-1.6961606735480972,1000,False
2008-03-14,2008Q2,-2,qbvar,-,-1.6073902611288489,2.403069701864058,1000,False
2008-03-21,2008Q1,12,qbvar,-,-1.9597029816570593,-1.6961606735480972,1000,False
2008-03-21,2008Q2,-1,qbvar,-,-1.6616133752874427,2.403069701864058,1000,False
2008-03-28,2008Q1,13,qbvar,-,-2.0598905717856972,-1.6961606735480972,1000,False
2008-03-28,2008Q2,0,qbvar,-,-1.704535564080524,2.403069701864058,1000,False
2008-04-04,2008Q1,14,qbvar,-,-1.7478718436233107,-1.6961606735480972,1000,False
2008-04-04,2008Q2,1,qbvar,-,-1.6664711160557901,2.403069701864058,1000,False
2008-04-04,2008Q3,-12,qbvar,-,-2.608868412538868,-2.0845363314131338,1000,False
2008-04-11,2008Q1,15,qbvar,-,-1.7165825156887977,-1.6961606735480972,1000,False
2008-04-11,2008Q2,2,qbvar,-,-1.770288430565775,2.403069701864058,1000,False
2008-04-11,2008Q3,-11,qbvar,-,-2.786164331709163,-2.0845363314131338,1000,False
2008-04-18,2008Q1,16,qbvar,-,-1.5703854642232369,-1.6961606735480972,1000,False
2008-04-18,2008Q2,3,qbvar,-,-1.8972580501570973,2.403069701864058,1000,False
2008-04-18,2008Q3,-10,qbvar,-,-2.3856581248237805,-2.0845363314131338,1000,False
2008-04-25,2008Q1,17,qbvar,-,-1.4831695924447739,-1.6961606735480972,1000,False
2008-04-25,2008Q2,4,qbvar,-,-1.9432587620733512,2.403069701864058,1000,False
2008-04-25,2008Q3,-9,qbvar,-,-2.5218284276791927,-2.0845363314131338,1000,False
