as_of,target_quarter,horizon_week,spec,variant,log_score,realizzato_bea,n_draws,reestimated
2019-08-02,2019Q3,5,lbvar,-,-2.345098869979895,4.762784209178728,200,True
2019-08-02,2019Q4,-8,lbvar,-,-1.7150099710161406,2.755535957854649,200,True
2019-08-09,2019Q3,6,lbvar,-,-2.759427913414012,4.762784209178728,200,False
2019-08-09,2019Q4,-7,lbvar,-,-1.740925726627181,2.755535957854649,200,False
2019-08-16,2019Q3,7,lbvar,-,-2.639550278725101,4.762784209178728,200,False
2019-08-16,2019Q4,-6,lbvar,-,-1.7835377103711172,2.755535957854649,200,False
2019-08-23,2019Q3,8,lbvar,-,-3.5086504299629557,4.762784209178728,200,False
2019-08-23,2019Q4,-5,lbvar,-,-1.6203103001629269,2.755535957854649,200,False
2019-08-30,2019Q3,9,lbvar,-,-2.5738300417809015,4.762784209178728,200,False
2019-08-30,2019Q4,-4,lbvar,-,-1.5992467918240338,2.755535957854649,200,False
2019-09-06,2019Q3,10,lbvar,-,-3.011737116774308,4.762784209178728,200,False
2019-09-06,2019Q4,-3,lbvar,-,-1.6300284996125234,2.755535957854649,200,False
2019-09-13,2019Q3,11,lbvar,-,-3.087437772394866,4.762784209178728,200,False
2019-09-13,2019Q4,-2,lbvar,-,-1.5205998880816165,2.755535957854649,200,False
2019-09-20,2019Q3,12,lbvar,-,-2.3837315151339324,4.762784209178728,200,False
2019-09-20,2019Q4,-1,lbvar,-,-1.5761420250733646,2.755535957854649,200,False
2019-09-27,2019Q3,13,lbvar,-,-2.4910635149559135,4.762784209178728,200,False
2019-09-27,2019Q4,0,lbvar,-,-1.7583712584985478,2.755535957854649,200,False
2019-10-04,2019Q3,14,lbvar,-,-2.633866461658333,4.762784209178728,200,False
2019-10-04,2019Q4,1,lbvar,-,-1.5055497148732164,2.755535957854649,200,False
2019-10-04,2020Q1,-12,lbvar,-,-16.951355012105015,-5.16223383893778,200,False
2019-10-11,2019Q3,15,lbvar,-,-2.929717997876325,4.762784209178728,200,False
2019-10-11,2019Q4,2,lbvar,-,-1.5692915738463167,2.755535957854649,200,False
2019-10-11,2020Q1,-11,lbvar,-,-22.44022212876674,-5.16223383893778,200,False
2019-10-18,2019Q3,16,lbvar,-,-3.1431718482305233,4.762784209178728,200,False
2019-10-18,2019Q4,3,lbvar,-,-1.5414762973490141,2.755535957854649,200,False
2019-10-18,2020Q1,-10,lbvar,-,-20.152742586008298,-5.16223383893778,200,False
2019-10-25,2019Q3,17,lbvar,-,-2.9839547361979815,4.762784209178728,200,False
2019-10-25,2019Q4,4,lbvar,-,-1.4957863896650077,2.755535957854649,200,False
2019-10-25,2020Q1,-9,lbvar,-,-11.338764927156062,-5.16223383893778,200,False
