as_of,target_quarter,horizon_week,spec,variant,nowcast_bea,nowcast_livello,nowcast_z,sd_z,realizzato_bea,realizzato_livello,errore_bea,gdp_release_date,n_releases,n_iter,converged,reestimated
2012-08-03,2012Q3,5,benchmark,ar2,2.6173086061869855,2.5836432385726007,-0.044753357139674495,,0.5773578286532466,0.575697505945138,2.039950777533739,2012-10-28,12,0,True,False
2012-08-03,2012Q3,5,benchmark,mean,2.7287098646819885,2.6921442655254926,0.0,,0.5773578286532466,0.575697505945138,2.151352036028742,2012-10-28,12,0,True,False
2012-08-03,2012Q3,5,qbvar,-,3.246705950476303,3.195114171677107,,2.106330999361726,0.5773578286532466,0.575697505945138,2.6693481218230564,2012-10-28,12,1000,True,True
2012-08-03,2012Q4,-8,benchmark,ar2,2.467112677571004,2.437170918024283,-0.10516871224430226,,0.4633651980530562,0.4622949663000891,2.0037474795179477,2013-01-28,12,0,True,False
2012-08-03,2012Q4,-8,benchmark,mean,2.7287098646819885,2.6921442655254926,0.0,,0.4633651980530562,0.4622949663000891,2.2653446666289323,2013-01-28,12,0,True,False
2012-08-03,2012Q4,-8,qbvar,-,3.3855850943586563,3.32953572224117,,2.128990852566356,0.4633651980530562,0.4622949663000891,2.9222198963056,2013-01-28,12,1000,True,True
2012-08-10,2012Q3,6,benchmark,ar2,2.6173086061869855,2.5836432385726007,-0.044753357139674495,,0.5773578286532466,0.575697505945138,2.039950777533739,2012-10-28,7,0,True,False
2012-08-10,2012Q3,6,benchmark,mean,2.7287098646819885,2.6921442655254926,0.0,,0.5773578286532466,0.575697505945138,2.151352036028742,2012-10-28,7,0,True,False
2012-08-10,2012Q3,6,qbvar,-,3.243886719014366,3.1923835567607903,,1.9983606203638022,0.5773578286532466,0.575697505945138,2.6665288903611195,2012-10-28,7,1000,True,False
2012-08-10,2012Q4,-7,benchmark,ar2,2.467112677571004,2.437170918024283,-0.10516871224430226,,0.4633651980530562,0.4622949663000891,2.0037474795179477,2013-01-28,7,0,True,False
2012-08-10,2012Q4,-7,benchmark,mean,2.7287098646819885,2.6921442655254926,0.0,,0.4633651980530562,0.4622949663000891,2.2653446666289323,2013-01-28,7,0,True,False
2012-08-10,2012Q4,-7,qbvar,-,3.4717204186518136,3.4128156712454736,,2.2361321638399754,0.4633651980530562,0.4622949663000891,3.0083552205987574,2013-01-28,7,1000,True,False
2012-08-17,2012Q3,7,benchmark,ar2,2.6173086061869855,2.5836432385726007,-0.044753357139674495,,0.5773578286532466,0.575697505945138,2.039950777533739,2012-10-28,10,0,True,False
2012-08-17,2012Q3,7,benchmark,mean,2.7287098646819885,2.6921442655254926,0.0,,0.5773578286532466,0.575697505945138,2.151352036028742,2012-10-28,10,0,True,False
2012-08-17,2012Q3,7,qbvar,-,4.3562108452732895,4.263996512446054,,2.363305954957471,0.5773578286532466,0.575697505945138,3.778853016620043,2012-10-28,10,1000,True,False
2012-08-17,2012Q4,-6,benchmark,ar2,2.467112677571004,2.437170918024283,-0.10516871224430226,,0.4633651980530562,0.4622949663000891,2.0037474795179477,2013-01-28,10,0,True,False
2012-08-17,2012Q4,-6,benchmark,mean,2.7287098646819885,2.6921442655254926,0.0,,0.4633651980530562,0.4622949663000891,2.2653446666289323,2013-01-28,10,0,True,False
2012-08-17,2012Q4,-6,qbvar,-,4.172456615028164,4.087757647981976,,2.3758116608061672,0.4633651980530562,0.4622949663000891,3.7090914169751077,2013-01-28,10,1000,True,False
2012-08-24,2012Q3,8,benchmark,ar2,2.6173086061869855,2.5836432385726007,-0.044753357139674495,,0.5773578286532466,0.575697505945138,2.039950777533739,2012-10-28,2,0,True,False
2012-08-24,2012Q3,8,benchmark,mean,2.7287098646819885,2.6921442655254926,0.0,,0.5773578286532466,0.575697505945138,2.151352036028742,2012-10-28,2,0,True,False
2012-08-24,2012Q3,8,qbvar,-,4.208726698171128,4.122568932698338,,2.2874087269324535,0.5773578286532466,0.575697505945138,3.631368869517882,2012-10-28,2,1000,True,False
2012-08-24,2012Q4,-5,benchmark,ar2,2.467112677571004,2.437170918024283,-0.10516871224430226,,0.4633651980530562,0.4622949663000891,2.0037474795179477,2013-01-28,2,0,True,False
2012-08-24,2012Q4,-5,benchmark,mean,2.7287098646819885,2.6921442655254926,0.0,,0.4633651980530562,0.4622949663000891,2.2653446666289323,2013-01-28,2,0,True,False
2012-08-24,2012Q4,-5,qbvar,-,4.108889527258208,4.026718010087374,,2.358372807404042,0.4633651980530562,0.4622949663000891,3.645524329205152,2013-01-28,2,1000,True,False
2012-08-31,2012Q3,9,benchmark,ar2,2.6173086061869855,2.5836432385726007,-0.044753357139674495,,0.5773578286532466,0.575697505945138,2.039950777533739,2012-10-28,8,0,True,False
2012-08-31,2012Q3,9,benchmark,mean,2.7287098646819885,2.6921442655254926,0.0,,0.5773578286532466,0.575697505945138,2.151352036028742,2012-10-28,8,0,True,False
2012-08-31,2012Q3,9,qbvar,-,4.203431168371241,4.117487146822469,,2.410591167223803,0.5773578286532466,0.575697505945138,3.626073339717994,2012-10-28,8,1000,True,False
2012-08-31,2012Q4,-4,benchmark,ar2,2.467112677571004,2.437170918024283,-0.10516871224430226,,0.4633651980530562,0.4622949663000891,2.0037474795179477,2013-01-28,8,0,True,False
2012-08-31,2012Q4,-4,benchmark,mean,2.7287098646819885,2.6921442655254926,0.0,,0.4633651980530562,0.4622949663000891,2.2653446666289323,2013-01-28,8,0,True,False
2012-08-31,2012Q4,-4,qbvar,-,4.158022189836153,4.073900409907246,,2.4700719627320953,0.4633651980530562,0.4622949663000891,3.6946569917830967,2013-01-28,8,1000,True,False
2012-09-07,2012Q3,10,benchmark,ar2,2.6173086061869855,2.5836432385726007,-0.044753357139674495,,0.5773578286532466,0.575697505945138,2.039950777533739,2012-10-28,12,0,True,False
2012-09-07,2012Q3,10,benchmark,mean,2.7287098646819885,2.6921442655254926,0.0,,0.5773578286532466,0.575697505945138,2.151352036028742,2012-10-28,12,0,True,False
2012-09-07,2012Q3,10,qbvar,-,4.252258514483376,4.164333886366397,,2.3553023788432865,0.5773578286532466,0.575697505945138,3.6749006858301296,2012-10-28,12,1000,True,False
2012-09-07,2012Q4,-3,benchmark,ar2,2.467112677571004,2.437170918024283,-0.10516871224430226,,0.4633651980530562,0.4622949663000891,2.0037474795179477,2013-01-28,12,0,True,False
2012-09-07,2012Q4,-3,benchmark,mean,2.7287098646819885,2.6921442655254926,0.0,,0.4633651980530562,0.4622949663000891,2.2653446666289323,2013-01-28,12,0,True,False
2012-09-07,2012Q4,-3,qbvar,-,4.136529659231325,4.053263738913875,,2.4131120271882267,0.4633651980530562,0.4622949663000891,3.673164461178269,2013-01-28,12,1000,True,False
2012-09-14,2012Q3,11,benchmark,ar2,2.6173086061869855,2.5836432385726007,-0.044753357139674495,,0.5773578286532466,0.575697505945138,2.039950777533739,2012-10-28,6,0,True,False
2012-09-14,2012Q3,11,benchmark,mean,2.7287098646819885,2.6921442655254926,0.0,,0.5773578286532466,0.575697505945138,2.151352036028742,2012-10-28,6,0,True,False
2012-09-14,2012Q3,11,qbvar,-,4.134603257305902,4.051413840756122,,2.4261854212876086,0.5773578286532466,0.575697505945138,3.5572454286526556,2012-10-28,6,1000,True,False
2012-09-14,2012Q4,-2,benchmark,ar2,2.467112677571004,2.437170918024283,-0.10516871224430226,,0.4633651980530562,0.4622949663000891,2.0037474795179477,2013-01-28,6,0,True,False
2012-09-14,2012Q4,-2,benchmark,mean,2.7287098646819885,2.6921442655254926,0.0,,0.4633651980530562,0.4622949663000891,2.2653446666289323,2013-01-28,6,0,True,False
2012-09-14,2012Q4,-2,qbvar,-,4.036164430678535,3.956838761788021,,2.4879560424312546,0.4633651980530562,0.4622949663000891,3.5727992326254787,2013-01-28,6,1000,True,False
2012-09-21,2012Q3,12,benchmark,ar2,2.6173086061869855,2.5836432385726007,-0.044753357139674495,,0.5773578286532466,0.575697505945138,2.039950777533739,2012-10-28,6,0,True,False
2012-09-21,2012Q3,12,benchmark,mean,2.7287098646819885,2.6921442655254926,0.0,,0.5773578286532466,0.575697505945138,2.151352036028742,2012-10-28,6,0,True,False
2012-09-21,2012Q3,12,qbvar,-,2.524833198005272,2.4934858348988747,,2.295350711854073,0.5773578286532466,0.575697505945138,1.9474753693520253,2012-10-28,6,1000,True,False
2012-09-21,2012Q4,-1,benchmark,ar2,2.467112677571004,2.437170918024283,-0.10516871224430226,,0.4633651980530562,0.4622949663000891,2.0037474795179477,2013-01-28,6,0,True,False
2012-09-21,2012Q4,-1,benchmark,mean,2.7287098646819885,2.6921442655254926,0.0,,0.4633651980530562,0.4622949663000891,2.2653446666289323,2013-01-28,6,0,True,False
2012-09-21,2012Q4,-1,qbvar,-,3.964574058340342,3.888002106990386,,2.360168758957561,0.4633651980530562,0.4622949663000891,3.501208860287286,2013-01-28,6,1000,True,False
2012-09-28,2012Q3,13,benchmark,ar2,2.6173086061869855,2.5836432385726007,-0.044753357139674495,,0.5773578286532466,0.575697505945138,2.039950777533739,2012-10-28,4,0,True,False
2012-09-28,2012Q3,13,benchmark,mean,2.7287098646819885,2.6921442655254926,0.0,,0.5773578286532466,0.575697505945138,2.151352036028742,2012-10-28,4,0,True,False
2012-09-28,2012Q3,13,qbvar,-,2.449760754385222,2.4202353451389116,,2.2233048472008985,0.5773578286532466,0.575697505945138,1.8724029257319752,2012-10-28,4,1000,True,False
2012-09-28,2012Q4,0,benchmark,ar2,2.467112677571004,2.437170918024283,-0.10516871224430226,,0.4633651980530562,0.4622949663000891,2.0037474795179477,2013-01-28,4,0,True,False
2012-09-28,2012Q4,0,benchmark,mean,2.7287098646819885,2.6921442655254926,0.0,,0.4633651980530562,0.4622949663000891,2.2653446666289323,2013-01-28,4,0,True,False
2012-09-28,2012Q4,0,qbvar,-,3.88726759336111,3.8136159789391963,,2.3966832123760393,0.4633651980530562,0.4622949663000891,3.423902395308054,2013-01-28,4,1000,True,False
2012-10-05,2012Q3,14,benchmark,ar2,2.6173086061869855,2.5836432385726007,-0.044753357139674495,,0.5773578286532466,0.575697505945138,2.039950777533739,2012-10-28,13,0,True,False
2012-10-05,2012Q3,14,benchmark,mean,2.7287098646819885,2.6921442655254926,0.0,,0.5773578286532466,0.575697505945138,2.151352036028742,2012-10-28,13,0,True,False
2012-10-05,2012Q3,14,qbvar,-,1.5155635664540035,1.5041936369133226,,1.9861150483311005,0.5773578286532466,0.575697505945138,0.9382057378007569,2012-10-28,13,1000,True,False
2012-10-05,2012Q4,1,benchmark,ar2,2.467112677571004,2.437170918024283,-0.10516871224430226,,0.4633651980530562,0.4622949663000891,2.0037474795179477,2013-01-28,13,0,True,False
2012-10-05,2012Q4,1,benchmark,mean,2.7287098646819885,2.6921442655254926,0.0,,0.4633651980530562,0.4622949663000891,2.2653446666289323,2013-01-28,13,0,True,False
2012-10-05,2012Q4,1,qbvar,-,3.2907218934276616,3.237736900232619,,2.3349968428330343,0.4633651980530562,0.4622949663000891,2.8273566953746054,2013-01-28,13,1000,True,False
2012-10-05,2013Q1,-12,benchmark,ar2,2.6266852151735742,2.592780274759162,-0.04098460899839797,,4.005025807945661,3.9269037062063,-1.378340592772087,2013-04-28,13,0,True,False
2012-10-05,2013Q1,-12,benchmark,mean,2.7287098646819885,2.6921442655254926,0.0,,4.005025807945661,3.9269037062063,-1.2763159432636728,2013-04-28,13,0,True,False
