as_of,target_quarter,horizon_week,spec,variant,log_score,realizzato_bea,n_draws,reestimated
2021-07-30,2021Q3,5,qbvar,-,-3.0133216664917764,3.34127932577879,1000,True
2021-07-30,2021Q4,-8,qbvar,-,-3.756970104023069,7.0416786109130936,1000,True
2021-07-30,2021Q3,5,cbvar,authors,-3.4602693247196163,3.34127932577879,1000,True
2021-07-30,2021Q4,-8,cbvar,authors,-3.308036899802586,7.0416786109130936,1000,True
2021-07-30,2021Q3,5,bbvar,-,-3.025291444473699,3.34127932577879,1000,True
2021-07-30,2021Q4,-8,bbvar,-,-3.0750956051369087,7.0416786109130936,1000,True
2021-07-30,2021Q3,5,lbvar,-,-4.057070198808804,3.34127932577879,200,True
2021-07-30,2021Q4,-8,lbvar,-,-4.226777581912833,7.0416786109130936,200,True
2021-08-06,2021Q3,6,qbvar,-,-2.992739729559944,3.34127932577879,1000,False
2021-08-06,2021Q4,-7,qbvar,-,-3.4204547448454052,7.0416786109130936,1000,False
2021-08-06,2021Q3,6,cbvar,authors,-3.193454507632894,3.34127932577879,1000,False
2021-08-06,2021Q4,-7,cbvar,authors,-3.4837844327288194,7.0416786109130936,1000,False
2021-08-06,2021Q3,6,bbvar,-,-2.1048509522890666,3.34127932577879,1000,False
2021-08-06,2021Q4,-7,bbvar,-,-4.312037325448535,7.0416786109130936,1000,False
2021-08-06,2021Q3,6,lbvar,-,-4.042294034260342,3.34127932577879,200,False
2021-08-06,2021Q4,-7,lbvar,-,-4.620087914621102,7.0416786109130936,200,False
2021-08-13,2021Q3,7,qbvar,-,-3.4104067326945766,3.34127932577879,1000,False
2021-08-13,2021Q4,-6,qbvar,-,-3.2048692802660126,7.0416786109130936,1000,False
2021-08-13,2021Q3,7,cbvar,authors,-3.3617789581826956,3.34127932577879,1000,False
2021-08-13,2021Q4,-6,cbvar,authors,-3.5377737899629733,7.0416786109130936,1000,False
2021-08-13,2021Q3,7,bbvar,-,-2.056118061479221,3.34127932577879,1000,False
2021-08-13,2021Q4,-6,bbvar,-,-4.376962447189378,7.0416786109130936,1000,False
2021-08-13,2021Q3,7,lbvar,-,-3.8787800692373575,3.34127932577879,200,False
2021-08-13,2021Q4,-6,lbvar,-,-4.45185058839483,7.0416786109130936,200,False
2021-08-20,2021Q3,8,qbvar,-,-3.3572217341403863,3.34127932577879,1000,False
2021-08-20,2021Q4,-5,qbvar,-,-3.0852739001485623,7.0416786109130936,1000,False
2021-08-20,2021Q3,8,cbvar,authors,-3.330770832139748,3.34127932577879,1000,False
2021-08-20,2021Q4,-5,cbvar,authors,-3.6378519271455105,7.0416786109130936,1000,False
2021-08-20,2021Q3,8,bbvar,-,-2.5663156915850394,3.34127932577879,1000,False
2021-08-20,2021Q4,-5,bbvar,-,-5.387128410714999,7.0416786109130936,1000,False
2021-08-20,2021Q3,8,lbvar,-,-3.8241739548147784,3.34127932577879,200,False
2021-08-20,2021Q4,-5,lbvar,-,-4.994360404916149,7.0416786109130936,200,False
2021-08-27,2021Q3,9,qbvar,-,-3.4285337010961188,3.34127932577879,1000,False
2021-08-27,2021Q4,-4,qbvar,-,-3.2155999548150227,7.0416786109130936,1000,False
2021-08-27,2021Q3,9,cbvar,authors,-3.3335861575583334,3.34127932577879,1000,False
2021-08-27,2021Q4,-4,cbvar,authors,-3.590549662453728,7.0416786109130936,1000,False
2021-08-27,2021Q3,9,bbvar,-,-2.6209492778175645,3.34127932577879,1000,False
2021-08-27,2021Q4,-4,bbvar,-,-5.714344643677089,7.0416786109130936,1000,False
2021-08-27,2021Q3,9,lbvar,-,-4.159966472484747,3.34127932577879,200,False
2021-08-27,2021Q4,-4,lbvar,-,-5.3359378485995315,7.0416786109130936,200,False
2021-09-03,2021Q3,10,qbvar,-,-3.4759367543029316,3.34127932577879,1000,False
2021-09-03,2021Q4,-3,qbvar,-,-3.148079758553558,7.0416786109130936,1000,False
2021-09-03,2021Q3,10,cbvar,authors,-3.719849883896704,3.34127932577879,1000,False
2021-09-03,2021Q4,-3,cbvar,authors,-3.4961270235288273,7.0416786109130936,1000,False
2021-09-03,2021Q3,10,bbvar,-,-2.403077211567231,3.34127932577879,1000,False
2021-09-03,2021Q4,-3,bbvar,-,-5.649928832428495,7.0416786109130936,1000,False
2021-09-03,2021Q3,10,lbvar,-,-4.6699413900994955,3.34127932577879,200,False
2021-09-03,2021Q4,-3,lbvar,-,-4.561377763358453,7.0416786109130936,200,False
2021-09-10,2021Q3,11,qbvar,-,-3.3045234238721672,3.34127932577879,1000,False
2021-09-10,2021Q4,-2,qbvar,-,-3.2237472700285967,7.0416786109130936,1000,False
2021-09-10,2021Q3,11,cbvar,authors,-3.1522744144169783,3.34127932577879,1000,False
2021-09-10,2021Q4,-2,cbvar,authors,-3.9395378652781425,7.0416786109130936,1000,False
2021-09-10,2021Q3,11,bbvar,-,-2.725552081956591,3.34127932577879,1000,False
2021-09-10,2021Q4,-2,bbvar,-,-5.919146043985888,7.0416786109130936,1000,False
2021-09-10,2021Q3,11,lbvar,-,-3.692560611806009,3.34127932577879,200,False
2021-09-10,2021Q4,-2,lbvar,-,-5.132405524486455,7.0416786109130936,200,False
2021-09-17,2021Q3,12,qbvar,-,-3.347721292228706,3.34127932577879,1000,False
2021-09-17,2021Q4,-1,qbvar,-,-3.2073406091106986,7.0416786109130936,1000,False
2021-09-17,2021Q3,12,cbvar,authors,-3.1802055098864397,3.34127932577879,1000,False
2021-09-17,2021Q4,-1,cbvar,authors,-3.9332820183564796,7.0416786109130936,1000,False
2021-09-17,2021Q3,12,bbvar,-,-2.718546031095033,3.34127932577879,1000,False
2021-09-17,2021Q4,-1,bbvar,-,-7.5116286783906485,7.0416786109130936,1000,False
2021-09-17,2021Q3,12,lbvar,-,-2.342794421546766,3.34127932577879,200,False
2021-09-17,2021Q4,-1,lbvar,-,-4.863601386719372,7.0416786109130936,200,False
2021-09-24,2021Q3,13,qbvar,-,-3.2826029505736978,3.34127932577879,1000,False
2021-09-24,2021Q4,0,qbvar,-,-3.2081662076381114,7.0416786109130936,1000,False
2021-09-24,2021Q3,13,cbvar,authors,-3.035975647710796,3.34127932577879,1000,False
2021-09-24,2021Q4,0,cbvar,authors,-4.042697565267632,7.0416786109130936,1000,False
2021-09-24,2021Q3,13,bbvar,-,-2.589589506549292,3.34127932577879,1000,False
2021-09-24,2021Q4,0,bbvar,-,-5.8865989916198185,7.0416786109130936,1000,False
2021-09-24,2021Q3,13,lbvar,-,-2.397049667041733,3.34127932577879,200,False
2021-09-24,2021Q4,0,lbvar,-,-4.957788278052282,7.0416786109130936,200,False
2021-10-01,2021Q3,14,qbvar,-,-4.92974745878035,3.34127932577879,1000,False
2021-10-01,2021Q4,1,qbvar,-,-2.914087419954758,7.0416786109130936,1000,False
2021-10-01,2022Q1,-13,qbvar,-,-2.8339082249416347,-1.0153057807451127,1000,False
2021-10-01,2021Q3,14,cbvar,authors,-3.447437679649355,3.34127932577879,1000,False
2021-10-01,2021Q4,1,cbvar,authors,-3.9189990925362728,7.0416786109130936,1000,False
