as_of,target_quarter,horizon_week,spec,variant,log_score,realizzato_bea,n_draws,reestimated
2013-08-02,2013Q3,5,bbvar,-,-1.4903739959398887,3.4493139225505898,1000,True
2013-08-02,2013Q3,5,cbvar,authors,-1.9213488937767995,3.4493139225505898,1000,True
2013-08-02,2013Q3,5,lbvar,-,-1.5823651313289475,3.4493139225505898,200,True
2013-08-02,2013Q3,5,qbvar,-,-1.815473606651423,3.4493139225505898,1000,True
2013-08-02,2013Q4,-8,bbvar,-,-1.6384483305452595,3.532828598657445,1000,True
2013-08-02,2013Q4,-8,cbvar,authors,-1.999590205611308,3.532828598657445,1000,True
2013-08-02,2013Q4,-8,lbvar,-,-1.6723039236370218,3.532828598657445,200,True
2013-08-02,2013Q4,-8,qbvar,-,-1.8474612118227625,3.532828598657445,1000,True
2013-08-09,2013Q3,6,bbvar,-,-1.536324424858469,3.4493139225505898,1000,False
2013-08-09,2013Q3,6,cbvar,authors,-1.9479354614655413,3.4493139225505898,1000,False
2013-08-09,2013Q3,6,lbvar,-,-1.4565507643665492,3.4493139225505898,200,False
2013-08-09,2013Q3,6,qbvar,-,-1.718310656268639,3.4493139225505898,1000,False
2013-08-09,2013Q4,-7,bbvar,-,-1.6148585052641815,3.532828598657445,1000,False
2013-08-09,2013Q4,-7,cbvar,authors,-2.08338092742543,3.532828598657445,1000,False
2013-08-09,2013Q4,-7,lbvar,-,-1.757095803005023,3.532828598657445,200,False
2013-08-09,2013Q4,-7,qbvar,-,-1.5918656075009123,3.532828598657445,1000,False
2013-08-16,2013Q3,7,bbvar,-,-1.4937318964637236,3.4493139225505898,1000,False
2013-08-16,2013Q3,7,cbvar,authors,-1.9633288267988045,3.4493139225505898,1000,False
2013-08-16,2013Q3,7,lbvar,-,-1.5214966339241998,3.4493139225505898,200,False
2013-08-16,2013Q3,7,qbvar,-,-1.8083800143068536,3.4493139225505898,1000,False
2013-08-16,2013Q4,-6,bbvar,-,-1.5111493367098738,3.532828598657445,1000,False
2013-08-16,2013Q4,-6,cbvar,authors,-2.0663933012307254,3.532828598657445,1000,False
2013-08-16,2013Q4,-6,lbvar,-,-1.838503269610973,3.532828598657445,200,False
2013-08-16,2013Q4,-6,qbvar,-,-1.696758074093028,3.532828598657445,1000,False
2013-08-23,2013Q3,8,bbvar,-,-1.4000356895333437,3.4493139225505898,1000,False
2013-08-23,2013Q3,8,cbvar,authors,-1.9248614901268777,3.4493139225505898,1000,False
2013-08-23,2013Q3,8,lbvar,-,-1.7557089394902046,3.4493139225505898,200,False
2013-08-23,2013Q3,8,qbvar,-,-1.7265123045653503,3.4493139225505898,1000,False
2013-08-23,2013Q4,-5,bbvar,-,-1.581143694424373,3.532828598657445,1000,False
2013-08-23,2013Q4,-5,cbvar,authors,-2.030003608794325,3.532828598657445,1000,False
2013-08-23,2013Q4,-5,lbvar,-,-1.7072617897011857,3.532828598657445,200,False
2013-08-23,2013Q4,-5,qbvar,-,-1.7333545293309034,3.532828598657445,1000,False
2013-08-30,2013Q3,9,bbvar,-,-1.4120326778489534,3.4493139225505898,1000,False
2013-08-30,2013Q3,9,cbvar,authors,-1.9058534391581927,3.4493139225505898,1000,False
2013-08-30,2013Q3,9,lbvar,-,-1.7222464880158477,3.4493139225505898,200,False
2013-08-30,2013Q3,9,qbvar,-,-1.704695414100415,3.4493139225505898,1000,False
2013-08-30,2013Q4,-4,bbvar,-,-1.613412058302098,3.532828598657445,1000,False
2013-08-30,2013Q4,-4,cbvar,authors,-2.1032617770188864,3.532828598657445,1000,False
2013-08-30,2013Q4,-4,lbvar,-,-1.7469897558748049,3.532828598657445,200,False
2013-08-30,2013Q4,-4,qbvar,-,-1.73778581292727,3.532828598657445,1000,False
2013-09-06,2013Q3,10,bbvar,-,-1.4307159663012887,3.4493139225505898,1000,False
2013-09-06,2013Q3,10,cbvar,authors,-1.88649727115094,3.4493139225505898,1000,False
2013-09-06,2013Q3,10,lbvar,-,-1.7237174890966551,3.4493139225505898,200,False
2013-09-06,2013Q3,10,qbvar,-,-1.7335268957946215,3.4493139225505898,1000,False
2013-09-06,2013Q4,-3,bbvar,-,-1.578747521828428,3.532828598657445,1000,False
2013-09-06,2013Q4,-3,cbvar,authors,-2.024246846030406,3.532828598657445,1000,False
2013-09-06,2013Q4,-3,lbvar,-,-1.8593138386591253,3.532828598657445,200,False
2013-09-06,2013Q4,-3,qbvar,-,-1.6697249493581188,3.532828598657445,1000,False
2013-09-13,2013Q3,11,bbvar,-,-1.290503523456784,3.4493139225505898,1000,False
2013-09-13,2013Q3,11,cbvar,authors,-1.8766128602684071,3.4493139225505898,1000,False
2013-09-13,2013Q3,11,lbvar,-,-1.734228831231573,3.4493139225505898,200,False
2013-09-13,2013Q3,11,qbvar,-,-1.7028928036406197,3.4493139225505898,1000,False
2013-09-13,2013Q4,-2,bbvar,-,-1.5230731402611606,3.532828598657445,1000,False
2013-09-13,2013Q4,-2,cbvar,authors,-2.157279827539164,3.532828598657445,1000,False
2013-09-13,2013Q4,-2,lbvar,-,-1.692727855554768,3.532828598657445,200,False
2013-09-13,2013Q4,-2,qbvar,-,-1.6962534634164594,3.532828598657445,1000,False
2013-09-20,2013Q3,12,bbvar,-,-1.4211424917917432,3.4493139225505898,1000,False
2013-09-20,2013Q3,12,cbvar,authors,-1.9197037663920216,3.4493139225505898,1000,False
2013-09-20,2013Q3,12,lbvar,-,-1.8396658940063575,3.4493139225505898,200,False
2013-09-20,2013Q3,12,qbvar,-,-1.6814061970734664,3.4493139225505898,1000,False
2013-09-20,2013Q4,-1,bbvar,-,-1.6094843544889503,3.532828598657445,1000,False
2013-09-20,2013Q4,-1,cbvar,authors,-2.1528096162450274,3.532828598657445,1000,False
2013-09-20,2013Q4,-1,lbvar,-,-1.7885746285446589,3.532828598657445,200,False
2013-09-20,2013Q4,-1,qbvar,-,-1.646437206772801,3.532828598657445,1000,False
2013-09-27,2013Q3,13,bbvar,-,-1.458944471746911,3.4493139225505898,1000,False
2013-09-27,2013Q3,13,cbvar,authors,-1.8685322800889703,3.4493139225505898,1000,False
2013-09-27,2013Q3,13,lbvar,-,-2.110561386068386,3.4493139225505898,200,False
2013-09-27,2013Q3,13,qbvar,-,-1.6761579201367214,3.4493139225505898,1000,False
2013-09-27,2013Q4,0,bbvar,-,-1.606516678446376,3.532828598657445,1000,False
2013-09-27,2013Q4,0,cbvar,authors,-2.0079686441588027,3.532828598657445,1000,False
2013-09-27,2013Q4,0,lbvar,-,-1.807000236295188,3.532828598657445,200,False
2013-09-27,2013Q4,0,qbvar,-,-1.7047691589252163,3.532828598657445,1000,False
2013-10-04,2013Q3,14,bbvar,-,-1.5451280811547474,3.4493139225505898,1000,False
2013-10-04,2013Q3,14,cbvar,authors,-1.733389267914549,3.4493139225505898,1000,False
2013-10-04,2013Q3,14,lbvar,-,-1.9058564951743957,3.4493139225505898,200,False
2013-10-04,2013Q3,14,qbvar,-,-1.6535751270744872,3.4493139225505898,1000,False
2013-10-04,2013Q4,1,bbvar,-,-1.5277265033045129,3.532828598657445,1000,False
2013-10-04,2013Q4,1,cbvar,authors,-1.968366495543501,3.532828598657445,1000,False
2013-10-04,2013Q4,1,lbvar,-,-1.7180387587779673,3.532828598657445,200,False
2013-10-04,2013Q4,1,qbvar,-,-1.7237482429009785,3.532828598657445,1000,False
2013-10-04,2014Q1,-12,bbvar,-,-4.531148027308732,-1.3732548917761769,1000,False
2013-10-04,2014Q1,-12,cbvar,authors,-3.0971681947638587,-1.3732548917761769,1000,False
2013-10-04,2014Q1,-12,lbvar,-,-2.6277217824490733,-1.3732548917761769,200,False
2013-10-04,2014Q1,-12,qbvar,-,-4.0059733278030585,-1.3732548917761769,1000,False
2013-10-11,2013Q3,15,bbvar,-,-1.478699062593273,3.4493139225505898,1000,False
2013-10-11,2013Q3,15,cbvar,authors,-1.7019056015204876,3.4493139225505898,1000,False
2013-10-11,2013Q3,15,lbvar,-,-1.7497582777240424,3.4493139225505898,200,False
2013-10-11,2013Q3,15,qbvar,-,-1.607126773197316,3.4493139225505898,1000,False
2013-10-11,2013Q4,2,bbvar,-,-1.4982157918086956,3.532828598657445,1000,False
2013-10-11,2013Q4,2,cbvar,authors,-2.0701445359794546,3.532828598657445,1000,False
2013-10-11,2013Q4,2,lbvar,-,-1.6502038379664177,3.532828598657445,200,False
2013-10-11,2013Q4,2,qbvar,-,-1.7231994345177832,3.532828598657445,1000,False
2013-10-11,2014Q1,-11,bbvar,-,-4.525321876497728,-1.3732548917761769,1000,False
2013-10-11,2014Q1,-11,cbvar,authors,-3.057913843081574,-1.3732548917761769,1000,False
2013-10-11,2014Q1,-11,lbvar,-,-2.870344654212331,-1.3732548917761769,200,False
2013-10-11,2014Q1,-11,qbvar,-,-4.295146508323377,-1.3732548917761769,1000,False
2013-10-18,2013Q3,16,bbvar,-,-1.3792162203717206,3.4493139225505898,1000,False
2013-10-18,2013Q3,16,cbvar,authors,-1.647322319265009,3.4493139225505898,1000,False
2013-10-18,2013Q3,16,lbvar,-,-1.9856153482967147,3.4493139225505898,200,False
2013-10-18,2013Q3,16,qbvar,-,-1.4906309865588716,3.4493139225505898,1000,False
2013-10-18,2013Q4,3,bbvar,-,-1.574982382323481,3.532828598657445,1000,False
2013-10-18,2013Q4,3,cbvar,authors,-2.059999105671237,3.532828598657445,1000,False
2013-10-18,2013Q4,3,lbvar,-,-2.273409874597095,3.532828598657445,200,False
2013-10-18,2013Q4,3,qbvar,-,-1.7187695267319243,3.532828598657445,1000,False
2013-10-18,2014Q1,-10,bbvar,-,-4.724563941909689,-1.3732548917761769,1000,False
2013-10-18,2014Q1,-10,cbvar,authors,-3.083504543489884,-1.3732548917761769,1000,False
2013-10-18,2014Q1,-10,lbvar,-,-2.632175559020921,-1.3732548917761769,200,False
2013-10-18,2014Q1,-10,qbvar,-,-3.704595631539503,-1.3732548917761769,1000,False
2013-10-25,2013Q3,17,bbvar,-,-1.2346673149172478,3.4493139225505898,1000,False
2013-10-25,2013Q3,17,cbvar,authors,-1.686942166156948,3.4493139225505898,1000,False
2013-10-25,2013Q3,17,lbvar,-,-1.839176934160457,3.4493139225505898,200,False
2013-10-25,2013Q3,17,qbvar,-,-1.3818980418210367,3.4493139225505898,1000,False
2013-10-25,2013Q4,4,bbvar,-,-1.5153826991206585,3.532828598657445,1000,False
