as_of,target_quarter,horizon_week,spec,variant,log_score,realizzato_bea,n_draws,reestimated
2014-01-31,2014Q1,5,bbvar,-,-4.245802045542177,-1.3732548917761769,1000,True
2014-01-31,2014Q1,5,cbvar,authors,-3.0078617665800067,-1.3732548917761769,1000,True
2014-01-31,2014Q1,5,lbvar,-,-3.028291439446575,-1.3732548917761769,200,True
2014-01-31,2014Q1,5,qbvar,-,-3.8185207939141783,-1.3732548917761769,1000,True
2014-01-31,2014Q2,-8,bbvar,-,-2.522571931640632,5.268365026582655,1000,True
2014-01-31,2014Q2,-8,cbvar,authors,-2.580532311069574,5.268365026582655,1000,True
2014-01-31,2014Q2,-8,lbvar,-,-3.048422582989017,5.268365026582655,200,True
2014-01-31,2014Q2,-8,qbvar,-,-2.44674580429517,5.268365026582655,1000,True
2014-02-07,2014Q1,6,bbvar,-,-3.401796089038603,-1.3732548917761769,1000,False
2014-02-07,2014Q1,6,cbvar,authors,-2.736134406195014,-1.3732548917761769,1000,False
2014-02-07,2014Q1,6,lbvar,-,-2.4391876217653743,-1.3732548917761769,200,False
2014-02-07,2014Q1,6,qbvar,-,-3.3485103589559104,-1.3732548917761769,1000,False
2014-02-07,2014Q2,-7,bbvar,-,-2.322127531029803,5.268365026582655,1000,False
2014-02-07,2014Q2,-7,cbvar,authors,-2.5514784966042363,5.268365026582655,1000,False
2014-02-07,2014Q2,-7,lbvar,-,-3.765240964723189,5.268365026582655,200,False
2014-02-07,2014Q2,-7,qbvar,-,-2.7138982369684985,5.268365026582655,1000,False
2014-02-14,2014Q1,7,bbvar,-,-3.425371201364361,-1.3732548917761769,1000,False
2014-02-14,2014Q1,7,cbvar,authors,-2.6042659621938125,-1.3732548917761769,1000,False
2014-02-14,2014Q1,7,lbvar,-,-2.224748109526226,-1.3732548917761769,200,False
2014-02-14,2014Q1,7,qbvar,-,-3.4416737145380574,-1.3732548917761769,1000,False
2014-02-14,2014Q2,-6,bbvar,-,-2.393701486520044,5.268365026582655,1000,False
2014-02-14,2014Q2,-6,cbvar,authors,-2.379601968104468,5.268365026582655,1000,False
2014-02-14,2014Q2,-6,lbvar,-,-3.409598156579346,5.268365026582655,200,False
2014-02-14,2014Q2,-6,qbvar,-,-2.473350604127948,5.268365026582655,1000,False
2014-02-21,2014Q1,8,bbvar,-,-2.747673535627277,-1.3732548917761769,1000,False
2014-02-21,2014Q1,8,cbvar,authors,-2.342552423970373,-1.3732548917761769,1000,False
2014-02-21,2014Q1,8,lbvar,-,-1.7328293534007555,-1.3732548917761769,200,False
