as_of,target_quarter,horizon_week,spec,variant,log_score,realizzato_bea,n_draws,reestimated
2019-05-03,2019Q2,5,qbvar,-,-1.8930121059997678,3.3826649590035895,1000,True
2019-05-03,2019Q3,-8,qbvar,-,-2.5937300906186658,4.762784209178728,1000,True
2019-05-03,2019Q2,5,cbvar,authors,-2.1898243623622373,3.3826649590035895,1000,True
2019-05-03,2019Q3,-8,cbvar,authors,-2.495877189687887,4.762784209178728,1000,True
2019-05-03,2019Q2,5,bbvar,-,-1.7451379710963553,3.3826649590035895,1000,True
2019-05-03,2019Q3,-8,bbvar,-,-2.3148246886408304,4.762784209178728,1000,True
2019-05-03,2019Q2,5,lbvar,-,-1.7675065190267147,3.3826649590035895,200,True
2019-05-03,2019Q3,-8,lbvar,-,-2.1956166026745936,4.762784209178728,200,True
2019-05-10,2019Q2,6,qbvar,-,-1.9320969142509223,3.3826649590035895,1000,False
2019-05-10,2019Q3,-7,qbvar,-,-2.6189131648192907,4.762784209178728,1000,False
2019-05-10,2019Q2,6,cbvar,authors,-2.088776569388712,3.3826649590035895,1000,False
2019-05-10,2019Q3,-7,cbvar,authors,-2.4847433906522935,4.762784209178728,1000,False
2019-05-10,2019Q2,6,bbvar,-,-1.569867225050856,3.3826649590035895,1000,False
2019-05-10,2019Q3,-7,bbvar,-,-2.2180268600496533,4.762784209178728,1000,False
2019-05-10,2019Q2,6,lbvar,-,-1.6208557298049588,3.3826649590035895,200,False
2019-05-10,2019Q3,-7,lbvar,-,-2.369576486384715,4.762784209178728,200,False
2019-05-17,2019Q2,7,qbvar,-,-1.9302041220175936,3.3826649590035895,1000,False
2019-05-17,2019Q3,-6,qbvar,-,-2.6109363926211397,4.762784209178728,1000,False
2019-05-17,2019Q2,7,cbvar,authors,-2.2637414680400365,3.3826649590035895,1000,False
2019-05-17,2019Q3,-6,cbvar,authors,-2.5088834419609145,4.762784209178728,1000,False
2019-05-17,2019Q2,7,bbvar,-,-1.8182140191261167,3.3826649590035895,1000,False
2019-05-17,2019Q3,-6,bbvar,-,-2.195322610442327,4.762784209178728,1000,False
2019-05-17,2019Q2,7,lbvar,-,-1.5822191381060524,3.3826649590035895,200,False
2019-05-17,2019Q3,-6,lbvar,-,-2.100668718069793,4.762784209178728,200,False
2019-05-24,2019Q2,8,qbvar,-,-1.9282534700135612,3.3826649590035895,1000,False
2019-05-24,2019Q3,-5,qbvar,-,-2.4849961300259538,4.762784209178728,1000,False
2019-05-24,2019Q2,8,cbvar,authors,-2.1075361646507185,3.3826649590035895,1000,False
2019-05-24,2019Q3,-5,cbvar,authors,-2.621775799888116,4.762784209178728,1000,False
2019-05-24,2019Q2,8,bbvar,-,-1.9185410311243272,3.3826649590035895,1000,False
2019-05-24,2019Q3,-5,bbvar,-,-2.1892526399438297,4.762784209178728,1000,False
2019-05-24,2019Q2,8,lbvar,-,-1.59710226103797,3.3826649590035895,200,False
2019-05-24,2019Q3,-5,lbvar,-,-2.1836859986295867,4.762784209178728,200,False
2019-05-31,2019Q2,9,qbvar,-,-1.9345199672007691,3.3826649590035895,1000,False
2019-05-31,2019Q3,-4,qbvar,-,-2.6309995417404948,4.762784209178728,1000,False
2019-05-31,2019Q2,9,cbvar,authors,-2.14296442753964,3.3826649590035895,1000,False
2019-05-31,2019Q3,-4,cbvar,authors,-2.542865812240321,4.762784209178728,1000,False
2019-05-31,2019Q2,9,bbvar,-,-2.0363497185233395,3.3826649590035895,1000,False
2019-05-31,2019Q3,-4,bbvar,-,-2.1651775497985177,4.762784209178728,1000,False
2019-05-31,2019Q2,9,lbvar,-,-1.3407175926022763,3.3826649590035895,200,False
2019-05-31,2019Q3,-4,lbvar,-,-2.3620499331076736,4.762784209178728,200,False
2019-06-07,2019Q2,10,qbvar,-,-1.9072894019547744,3.3826649590035895,1000,False
2019-06-07,2019Q3,-3,qbvar,-,-2.631386224769548,4.762784209178728,1000,False
2019-06-07,2019Q2,10,cbvar,authors,-2.0236590236330474,3.3826649590035895,1000,False
2019-06-07,2019Q3,-3,cbvar,authors,-2.558412820432266,4.762784209178728,1000,False
2019-06-07,2019Q2,10,bbvar,-,-2.0865188675156396,3.3826649590035895,1000,False
2019-06-07,2019Q3,-3,bbvar,-,-2.2444479196618046,4.762784209178728,1000,False
2019-06-07,2019Q2,10,lbvar,-,-1.4803872966468918,3.3826649590035895,200,False
2019-06-07,2019Q3,-3,lbvar,-,-2.354515754049548,4.762784209178728,200,False
2019-06-14,2019Q2,11,qbvar,-,-2.0114637257749286,3.3826649590035895,1000,False
2019-06-14,2019Q3,-2,qbvar,-,-2.5103942604615836,4.762784209178728,1000,False
2019-06-14,2019Q2,11,cbvar,authors,-1.9923722221696418,3.3826649590035895,1000,False
2019-06-14,2019Q3,-2,cbvar,authors,-2.6438296019431258,4.762784209178728,1000,False
2019-06-14,2019Q2,11,bbvar,-,-1.9436881899913083,3.3826649590035895,1000,False
2019-06-14,2019Q3,-2,bbvar,-,-2.1963070152861537,4.762784209178728,1000,False
2019-06-14,2019Q2,11,lbvar,-,-1.3610223350079114,3.3826649590035895,200,False
2019-06-14,2019Q3,-2,lbvar,-,-2.152572044405918,4.762784209178728,200,False
2019-06-21,2019Q2,12,qbvar,-,-1.81991548421116,3.3826649590035895,1000,False
2019-06-21,2019Q3,-1,qbvar,-,-2.746163197476046,4.762784209178728,1000,False
2019-06-21,2019Q2,12,cbvar,authors,-2.0105220642174864,3.3826649590035895,1000,False
2019-06-21,2019Q3,-1,cbvar,authors,-2.5697507837037064,4.762784209178728,1000,False
2019-06-21,2019Q2,12,bbvar,-,-2.000227404320163,3.3826649590035895,1000,False
2019-06-21,2019Q3,-1,bbvar,-,-2.3978823815120065,4.762784209178728,1000,False
2019-06-21,2019Q2,12,lbvar,-,-1.5670080929908945,3.3826649590035895,200,False
2019-06-21,2019Q3,-1,lbvar,-,-2.5462821391830417,4.762784209178728,200,False
2019-06-28,2019Q2,13,qbvar,-,-1.8657593564291983,3.3826649590035895,1000,False
2019-06-28,2019Q3,0,qbvar,-,-2.5326073174249997,4.762784209178728,1000,False
2019-06-28,2019Q2,13,cbvar,authors,-2.0800059156837345,3.3826649590035895,1000,False
2019-06-28,2019Q3,0,cbvar,authors,-2.5065360286375498,4.762784209178728,1000,False
2019-06-28,2019Q2,13,bbvar,-,-2.1491090150444156,3.3826649590035895,1000,False
2019-06-28,2019Q3,0,bbvar,-,-2.3644813594274505,4.762784209178728,1000,False
2019-06-28,2019Q2,13,lbvar,-,-1.7053584878950008,3.3826649590035895,200,False
2019-06-28,2019Q3,0,lbvar,-,-2.662186719827024,4.762784209178728,200,False
2019-07-05,2019Q2,14,qbvar,-,-1.596307008897305,3.3826649590035895,1000,False
2019-07-05,2019Q3,1,qbvar,-,-2.2444790450661296,4.762784209178728,1000,False
2019-07-05,2019Q4,-12,qbvar,-,-1.6954657520099221,2.755535957854649,1000,False
2019-07-05,2019Q2,14,cbvar,authors,-1.9323654915939263,3.3826649590035895,1000,False
2019-07-05,2019Q3,1,cbvar,authors,-2.5309967912583673,4.762784209178728,1000,False
2019-07-05,2019Q4,-12,cbvar,authors,-2.0710957338133915,2.755535957854649,1000,False
2019-07-05,2019Q2,14,bbvar,-,-1.9944374542600298,3.3826649590035895,1000,False
2019-07-05,2019Q3,1,bbvar,-,-2.543109547333188,4.762784209178728,1000,False
2019-07-05,2019Q4,-12,bbvar,-,-1.4660477583787044,2.755535957854649,1000,False
2019-07-05,2019Q2,14,lbvar,-,-1.6195548795932668,3.3826649590035895,200,False
2019-07-05,2019Q3,1,lbvar,-,-2.8142910708287956,4.762784209178728,200,False
2019-07-05,2019Q4,-12,lbvar,-,-1.8253404350889693,2.755535957854649,200,False
2019-07-12,2019Q2,15,qbvar,-,-1.615678187304929,3.3826649590035895,1000,False
2019-07-12,2019Q3,2,qbvar,-,-2.3524753006856316,4.762784209178728,1000,False
2019-07-12,2019Q4,-11,qbvar,-,-1.7295119458679293,2.755535957854649,1000,False
2019-07-12,2019Q2,15,cbvar,authors,-1.916610510519579,3.3826649590035895,1000,False
2019-07-12,2019Q3,2,cbvar,authors,-2.518404045704247,4.762784209178728,1000,False
2019-07-12,2019Q4,-11,cbvar,authors,-2.0701729221459204,2.755535957854649,1000,False
2019-07-12,2019Q2,15,bbvar,-,-2.02422169459322,3.3826649590035895,1000,False
2019-07-12,2019Q3,2,bbvar,-,-2.6558608329715465,4.762784209178728,1000,False
2019-07-12,2019Q4,-11,bbvar,-,-1.501757109869987,2.755535957854649,1000,False
2019-07-12,2019Q2,15,lbvar,-,-1.578678162147482,3.3826649590035895,200,False
2019-07-12,2019Q3,2,lbvar,-,-2.829583051567875,4.762784209178728,200,False
2019-07-12,2019Q4,-11,lbvar,-,-1.9492635347228857,2.755535957854649,200,False
2019-07-19,2019Q2,16,qbvar,-,-1.598293263785073,3.3826649590035895,1000,False
2019-07-19,2019Q3,3,qbvar,-,-2.8936355853451476,4.762784209178728,1000,False
2019-07-19,2019Q4,-10,qbvar,-,-1.694222309430929,2.755535957854649,1000,False
2019-07-19,2019Q2,16,cbvar,authors,-2.006332617140234,3.3826649590035895,1000,False
2019-07-19,2019Q3,3,cbvar,authors,-2.5986785250571964,4.762784209178728,1000,False
2019-07-19,2019Q4,-10,cbvar,authors,-1.9785494145001685,2.755535957854649,1000,False
2019-07-19,2019Q2,16,bbvar,-,-2.193197918676165,3.3826649590035895,1000,False
2019-07-19,2019Q3,3,bbvar,-,-2.6032871280046326,4.762784209178728,1000,False
2019-07-19,2019Q4,-10,bbvar,-,-1.473751173596594,2.755535957854649,1000,False
2019-07-19,2019Q2,16,lbvar,-,-1.6570111088013826,3.3826649590035895,200,False
2019-07-19,2019Q3,3,lbvar,-,-2.89399791964545,4.762784209178728,200,False
2019-07-19,2019Q4,-10,lbvar,-,-1.5499567179468752,2.755535957854649,200,False
2019-07-26,2019Q2,17,qbvar,-,-1.7964612218995428,3.3826649590035895,1000,False
2019-07-26,2019Q3,4,qbvar,-,-2.608599007659431,4.762784209178728,1000,False
2019-07-26,2019Q4,-9,qbvar,-,-1.721400586135974,2.755535957854649,1000,False
2019-07-26,2019Q2,17,cbvar,authors,-1.8802338235036522,3.3826649590035895,1000,False
2019-07-26,2019Q3,4,cbvar,authors,-2.495060604498834,4.762784209178728,1000,False
2019-07-26,2019Q4,-9,cbvar,authors,-2.0034735101644703,2.755535957854649,1000,False
2019-07-26,2019Q2,17,bbvar,-,-2.067290183335513,3.3826649590035895,1000,False
2019-07-26,2019Q3,4,bbvar,-,-2.0492469085327945,4.762784209178728,1000,False
2019-07-26,2019Q4,-9,bbvar,-,-1.571683276281041,2.755535957854649,1000,False
2019-07-26,2019Q2,17,lbvar,-,-2.0485524112152804,3.3826649590035895,200,False
2019-07-26,2019Q3,4,lbvar,-,-2.2025061780123925,4.762784209178728,200,False
2019-07-26,2019Q4,-9,lbvar,-,-1.7220846502479503,2.755535957854649,200,False
